Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|52|1|1|1
Bimbo_1|3670016|319324|287862|1.1093|12|592|33|2|1
CityMaxCapita_1|26049426|11018728|10674240|1.03227|31|1353|238|11|1.4
CMSprovider_1|16717728|3729276|3416957|1.0914|26|1163|216|11|1.42857
CommonGovernment_1|62829650|8193179|6981360|1.17358|56|6987|591|27|1.84615
Corporations_1|11901857|5105751|3120109|1.6364|27|918|348|10|1.8
Eixo_1|60077487|5892367|4665205|1.26305|71|15388|2240|41|2.85714
Euro2016_1|11418716|5779460|5244416|1.10202|10|119|44|2|2
Food_1|2758131|515805|515949|0.999721|6|70|11|2|0
Generico_1|42738694|2805958|1865962|1.50376|42|5804|564|17|1.44444
HashTags_1|92542033|34753667|23944735|1.45141|99|20015|1371|25|1.16667
Hatred_1|26027696|11533096|11349725|1.01616|31|1178|175|11|1.5
IGlocations1_1|6321918|1779851|1780285|0.999756|18|660|79|9|0
Medicare1_1|12973420|3996314|3414148|1.17052|26|894|176|11|1.4
MedPayment1_1|16768400|4681724|4539728|1.03128|28|1191|134|10|2
MLB_1|18994088|2380651|2206685|1.07884|48|8256|1186|24|1.88889
Motos_1|42974217|2829428|1870294|1.51283|43|6090|588|19|1.66667
MulheresMil_1|62416953|5964864|4544658|1.3125|72|15881|2182|43|4.2
NYC_1|36490617|3139541|1644398|1.90923|48|5382|927|25|2.4
PanCreactomy1_1|18360922|4037727|3713904|1.08719|29|1555|307|12|1.42857
Physicians_1|16768116|4686462|4549923|1.03001|28|1191|134|9|1.66667
Provider_1|16202756|4588180|4515638|1.01606|28|1221|148|10|1.75
RealEstate1_1|17820728|4838606|4483238|1.07927|26|1330|177|8|1.6
Redfin1_1|22150976|9242876|8955062|1.03214|42|1398|127|12|2
Rentabilidad_1|70851322|16198993|14983002|1.08116|139|21693|1027|25|1.53333
Romance_1|21518242|9890137|9865871|1.00246|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8451934|1.10154|57|3588|356|18|1.77778
TableroSistemaPenal_1|23289522|802109|269558|2.97565|27|2252|144|13|2.6
Taxpayer_1|16195222|4592886|4524925|1.01502|28|1222|150|10|1.75
Telco_1|92222061|23897338|22554571|1.05953|176|54777|13357|74|1.16667
TrainsUK1_2|22067864|3440367|2900815|1.186|27|1629|198|12|1.66667
TrainsUK2_1|18144855|3140981|2515634|1.24858|29|2406|398|14|1.85714
Uberlandia_1|61320125|5959002|4586323|1.2993|72|15592|2415|42|3.72727
USCensus_1|137735464|8738400|8107197|1.07786|518|533880|31316|81|1.6
Wins_1|88869327|14701698|13995733|1.05044|254|174072|14530|152|2.06897
YaleLanguages_1|18012366|1520217|743663|2.04423|28|2358|366|19|2.71429
Average compression_ratio_improvement: 1.24403
Total ECRs computed: 912192
