Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1toN|1|0|2_F2|1_F1|string|string|557506|458756|58459|3549|9.5367|129.263|56892|18022|9.79937|25.4553|1.20813|Dict_1toN|1|0|9.799202|25.455332|9.799202|88.888975|0|12861|BP|-1|74|5|-1|-1|-1|-1|-1.000000|2275|615|0.973984|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|2568|2604|300|312|-1|-1|
Bimbo_1|0|Dict_1toN|1|7|2_Canal_ID|8_Producto_ID|integer|integer|262144|262144|3269|54490|80.1909|4.81086|142|68525|1846.08|3.82552|1.18885|Dict_1toN|1|7|1846.084507|3.825524|80.983627|4.806983|-3095|13991|BP|-1|4|242|-1|-1|-1|-1|-1.000000|2776|1648|0.992718|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|51720|52792|20|32|-1|-1|
Bimbo_1|0|Dict_1toN|11|3|12_Venta_uni_hoy|4_Demanda_uni_equil|integer|integer|262144|262144|50093|9238|5.23315|28.3767|39936|39868|6.5641|6.5753|1.34506|Dict_1toN|11|3|6.564103|6.575298|5.722044|41.075525|-5877|33486|-1|-1|176|176|-1|-1|-1|-1|-1.000000|1760|1284|0.990654|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|3896|7216|708|720|-1|-1|
Bimbo_1|0|Dict_1toN|11|10|12_Venta_uni_hoy|11_Venta_hoy|integer|double|262144|524288|50093|73202|5.23315|7.16221|39936|104724|6.5641|5.00638|1.17328|Dict_1toN|11|10|6.564103|5.006331|5.722044|7.239747|-5877|32306|BP|-1|176|2113|-1|-1|-1|-1|-1.000000|22248|19708|0.999391|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|49444|52756|708|720|-1|-1|
CityMaxCapita_1|0|Dict_1toN|2|22|3_City|23_State_Country|string|string|660352|1142397|128859|152341|5.12461|7.49895|135033|209191|4.8903|5.46102|1.22413|Dict_1toN|2|22|4.892040|5.461363|4.892040|7.818586|0|63065|-1|-1|4536|5751|-1|-1|-1|-1|-1.000000|104491|104362|0.999847|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|21554|2|23456|29801|18148|18160|-1|-1|
CityMaxCapita_1|0|Dict_1toN|2|1|3_City|2_City_State|string|string|660352|806374|128859|122424|5.12461|6.58673|135033|161893|4.8903|4.98091|1.18164|Dict_1toN|2|1|4.892040|4.981892|4.892040|6.829048|0|43781|BP|-1|4536|5292|-1|-1|-1|-1|-1.000000|93314|93334|0.999829|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|21554|23966|6600|10912|18148|18160|-1|-1|
CityMaxCapita_1|0|Dict_1toN|14|26|15_Language|27_Twitter Client|string|string|393571|1410658|3246|23896|121.248|59.0332|19216|50557|20.4814|27.9023|2.57067|Dict_1toN|14|26|20.481422|27.902328|20.481422|62.540255|0|28001|BP|-1|21|46|-1|-1|-1|-1|-1.000000|2618|1690|0.990533|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|19832|22088|88|100|-1|-1|
CityMaxCapita_1|0|Dict_1toN|20|23|21_Region|24_State|string|string|776748|388154|10495|22058|74.0112|17.597|15797|43423|49.1706|8.9389|1.81919|Dict_1toN|20|23|49.295424|8.947145|49.295424|17.945169|0|21753|-1|-1|5|50|-1|-1|-1|-1|-1.000000|300|320|0.950000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|2533|21288|21684|24|36|-1|-1|
CityMaxCapita_1|0|Dict_1toN|20|0|21_Region|1_City_Admin|string|string|776748|545836|10495|7773|74.0112|70.2221|15797|15845|49.1706|34.4485|1.7321|Dict_1toN|20|0|49.295424|34.476756|49.295424|69.084420|0|7931|BP|-1|5|2|-1|-1|-1|-1|-1.000000|283|106|0.849057|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|2|7576|7613|24|36|-1|-1|
CityMaxCapita_1|0|Dict_1toN|21|17|22_Short Domain|18_Long Domain|string|string|372891|383796|66421|37013|5.61405|10.3692|84607|90898|4.40733|4.22227|1.69678|Dict_1toN|21|17|4.880900|4.641440|4.880900|13.855451|0|54989|BP|-1|969|1086|-1|-1|-1|-1|-1.000000|21410|21430|0.999253|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|2392|11673|3880|3892|-1|-1|
