Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|Dict_Sharing|1|3|2_Canal_ID|4_Demanda_uni_equil|integer|integer|262144|262144|3957|45180|66.2482|5.80221|142|39868|1846.08|6.5753|0.814254|Dict_Sharing|1|3|1846.084507|6.575298|66.788280|8.153272|-3783|7716|-1|-1|4|176|-1|-1|-1|-1|-1.000000|704|716|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|32152|45168|-1|-1|-1|-1|
Bimbo_1|0|Dict_Sharing|6|11|7_Number of Records|12_Venta_uni_hoy|integer|integer|262144|262144|2801|45128|93.5894|5.8089|4|39936|65536|6.5641|0.833316|Dict_Sharing|6|11|65536.000000|6.564103|94.671000|8.377349|-2765|8644|-1|-1|1|176|-1|-1|-1|-1|-1.000000|704|716|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|31292|45116|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|1|22|2_City_State|23_State_Country|string|string|806374|1142397|167289|101961|4.82025|11.2043|161893|209191|4.98091|5.46102|1.37821|Dict_Sharing|1|22|4.981892|5.461363|4.709111|10.986277|-9376|105194|-1|-1|5292|5751|-1|-1|-1|-1|-1.000000|102694|104172|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|23966|2|103984|101949|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|5|13|6_FF Ratio|14_LPF|double|double|524288|524288|111849|97832|4.68746|5.35906|57057|146265|9.18885|3.58451|0.969673|Dict_Sharing|5|13|9.188846|3.584508|5.039922|6.568708|-46970|66449|-1|-1|552|6538|-1|-1|-1|-1|-1.000000|51386|54004|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|79816|97820|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|11|16|12_Influencer?|17_Listed Number|integer|integer|262144|262144|12637|42957|20.7442|6.10247|5856|42969|44.765|6.10077|0.878242|Dict_Sharing|11|16|44.765027|6.102048|27.908442|8.625428|-3537|12568|-1|-1|2|613|-1|-1|-1|-1|-1.000000|2452|2464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|1|30392|42945|-1|-1|-1|-1|
CityMaxCapita_1|0|Dict_Sharing|23|28|24_State|29_User Loc|string|string|388154|795139|301660|124373|1.28673|6.39318|43423|392334|8.9389|2.02669|1.02282|Dict_Sharing|23|28|8.947145|2.070001|1.501185|8.896561|-215182|294749|-1|-1|50|14506|-1|-1|-1|-1|-1.000000|215486|268035|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|25096|89376|124361|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|4|3|5_BENE_UNIQUE_CNT|4_BENE_DAY_SRVC_CNT|integer|integer|262144|262144|76562|75393|3.42394|3.47703|64393|68805|4.071|3.80996|0.876562|Dict_Sharing|4|3|4.071571|3.810454|3.751936|4.629556|-5484|12172|-1|-1|794|1210|-1|-1|-1|-1|-1.000000|3416|5112|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|56624|75381|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|7|18|8_HCPCS_DRUG_INDICATOR|19_NPPES_PROVIDER_STREET2|string|string|327683|574745|49043|105529|6.68154|5.44632|10301|152459|31.8108|3.76983|1.05297|Dict_Sharing|7|18|31.838613|3.984367|7.604442|6.445064|-32799|55074|-1|-1|1|2535|-1|-1|-1|-1|-1.000000|32808|46949|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|38889|89176|105517|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|16|11|17_NPPES_PROVIDER_STATE|12_NPPES_CREDENTIALS|string|string|393218|476945|26229|73661|14.9917|6.47486|33512|77944|11.7336|6.11907|1.11579|Dict_Sharing|16|11|11.736800|6.346151|10.094678|7.554727|-5450|12023|-1|-1|58|436|-1|-1|-1|-1|-1.000000|5802|5823|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1386|63132|73649|-1|-1|-1|-1|
CMSprovider_1|0|Dict_Sharing|20|10|21_Number of Records|11_NPI|integer|integer|262144|262144|60821|116772|4.31009|2.24492|4|175477|65536|1.49389|0.988108|Dict_Sharing|20|10|65536.000000|1.493894|4.383899|2.732260|-59792|79533|-1|-1|1|14681|-1|-1|-1|-1|-1.000000|57732|58736|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|95944|116760|-1|-1|-1|-1|
