Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|4|0|0|0
Bimbo_1|3670016|319324|336634|0.948579|12|92|4|2|1
CityMaxCapita_1|26049426|11018728|10920850|1.00896|31|204|29|4|1
CMSprovider_1|16717728|3729276|3730823|0.999585|26|202|18|4|1
CommonGovernment_1|62829650|8193179|8052680|1.01745|56|1208|84|9|1
Corporations_1|11901857|5105751|3271885|1.56049|27|144|80|5|1
Eixo_1|60077487|5892367|5665019|1.04013|71|2972|180|9|1
Euro2016_1|11418716|5779460|5261250|1.0985|10|20|8|2|1
Food_1|2758131|515805|518037|0.995691|6|8|2|1|1
Generico_1|42738694|2805958|2507072|1.11922|42|834|81|7|1
HashTags_1|92542033|34753667|33926667|1.02438|99|2572|276|7|1
Hatred_1|26027696|11533096|11547932|0.998715|31|154|5|2|1
IGlocations1_1|6321918|1779851|1780285|0.999756|18|212|0|0|0
Medicare1_1|12973420|3996314|4013031|0.995834|26|128|34|6|1
MedPayment1_1|16768400|4681724|4699246|0.996271|28|260|30|4|1
MLB_1|18994088|2380651|2389594|0.996258|48|968|314|19|1
Motos_1|42974217|2829428|2525613|1.12029|43|886|76|5|1
MulheresMil_1|62416953|5964864|5753534|1.03673|72|3080|142|8|1
NYC_1|36490617|3139541|2161873|1.45223|48|1130|166|8|1
PanCreactomy1_1|18360922|4037727|4024609|1.00326|29|292|66|8|1
Physicians_1|16768116|4686462|4696680|0.997824|28|260|28|4|1
Provider_1|16202756|4588180|4603200|0.996737|28|252|31|4|1
RealEstate1_1|17820728|4838606|4809643|1.00602|26|204|48|6|1
Redfin1_1|22150976|9242876|9131151|1.01224|42|170|44|6|1
Rentabilidad_1|70851322|16198993|16159554|1.00244|139|2576|100|6|1
Romance_1|21518242|9890585|9890401|1.00002|11|4|0|0|0
SalariesFrance_1|48707783|9310155|9249289|1.00658|57|480|29|5|1
TableroSistemaPenal_1|23289522|802109|808049|0.992649|27|366|4|1|1
Taxpayer_1|16195222|4592886|4614171|0.995387|28|252|33|4|1
Telco_1|92222061|23897338|23348147|1.02352|176|15972|11567|66|1
TrainsUK1_2|22067864|3440367|3354887|1.02548|27|194|68|8|1
TrainsUK2_1|18144855|3140981|3078412|1.02033|29|272|42|8|1
Uberlandia_1|61320125|5959002|5696807|1.04602|72|2834|192|12|1
USCensus_1|137735464|8738400|9141715|0.955882|518|90386|10721|84|1
Wins_1|88869327|14701698|14738801|0.997483|254|26304|3445|63|1
YaleLanguages_1|18012366|1520217|1447105|1.05052|28|410|8|4|1
Average compression_ratio_improvement: 1.04281
Total ECRs computed: 156306
