Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|7_Favorites|262144|121796|121820|0.999803|2.15232|2.1519|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|8_First Link in Tweet|721351|413279|413303|0.999942|1.74543|1.74533|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|9_Followers|262144|97136|97160|0.999753|2.69873|2.69807|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|10_Following|262144|93092|93116|0.999742|2.81597|2.81524|integer|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|11_Gender|327684|5|29|0.172414|65536.8|11299.4|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|12_Influencer?|262144|5856|12637|0.463401|44.765|20.7442|integer|source|Dict_Sharing|11|16|44.765027|6.102048|27.908442|10.409149|-3537|17776|-1|-1|2|613|-1|-1|-1|-1|-1.000000|2452|2464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|1|25184|42945|-1|-1|-1|-1||11|16
CityMaxCapita_1|0|13_Keyword|646505|26260|26284|0.999087|24.6194|24.5969|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|14_LPF|524288|146265|97832|1.49506|3.58451|5.35906|double|target|Dict_Sharing|5|13|9.188846|3.584508|4.981643|6.653401|-48187|67465|-1|-1|552|6538|-1|-1|-1|-1|-1.000000|52603|54004|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|78800|97820|-1|-1|-1|-1||5|13
CityMaxCapita_1|0|15_Language|393571|19216|19240|0.998753|20.4814|20.4559|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|16_Lat|524288|268247|268271|0.999911|1.9545|1.95432|double|None|None||||||||||||||||||||||||||||||||||||
