Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Arade_1|0|Dict_1toN|1|0|2_F2|1_F1|string|string|557506|458756|58459|3549|9.5367|129.263|56892|18022|9.79937|25.4553|1.20813|Dict_1toN|1|0|9.799202|25.455332|9.799202|113.189243|0|13969|BP|-1|74|5|-1|-1|-1|-1|-1.000000|1155|615|0.973984|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|2580|2604|300|312|-1|-1|
Bimbo_1|0|Numerical|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|39892|7680|6.57134|34.1333|39868|39936|6.5753|6.5641|1.67754|Numerical|3|11|6.575298|6.564103|6.575298|47.941478|0|34468|PFOR|BP|176|176|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999113|0|2000|0|2000|0|0|5468|7656|-1|-1|-1|-1|
Bimbo_1|0|Dict_1toN|7|10|8_Producto_ID|11_Venta_hoy|integer|double|262144|524288|60241|76234|4.35159|6.87735|68525|104724|3.82552|5.00638|1.26946|Dict_1toN|7|10|3.825524|5.006331|3.825524|6.662702|0|26034|BP|-1|242|2113|-1|-1|-1|-1|-1.000000|35480|29788|0.999597|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|42220|45444|972|984|-1|-1|
CityMaxCapita_1|0|Dict_1toN|0|14|1_City_Admin|15_Language|string|string|545836|393571|7663|3363|71.2301|117.03|15845|19216|34.4485|20.4814|3.17985|Dict_1toN|0|14|34.476756|20.481422|34.476756|125.381013|0|16077|BP|-1|2|21|-1|-1|-1|-1|-1.000000|249|233|0.931330|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|0|2860|3088|12|24|-1|-1|
CityMaxCapita_1|0|Dict_1toN|20|26|21_Region|27_Twitter Client|string|string|776748|1410658|10495|19393|74.0112|72.7406|15797|50557|49.1706|27.9023|2.22009|Dict_1toN|20|26|49.295424|27.902328|49.295424|71.873338|0|30930|-1|-1|5|46|-1|-1|-1|-1|-1.000000|3909|2331|0.993136|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|0|15676|17008|24|36|-1|-1|
CityMaxCapita_1|0|Dict_1toN|20|23|21_Region|24_State|string|string|776748|388154|10495|22058|74.0112|17.597|15797|43423|49.1706|8.9389|1.81919|Dict_1toN|20|23|49.295424|8.947145|49.295424|17.856013|0|21645|BP|-1|5|50|-1|-1|-1|-1|-1.000000|300|320|0.950000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2533|2533|21396|21684|24|36|-1|-1|
CityMaxCapita_1|0|Dict_1toN|21|17|22_Short Domain|18_Long Domain|string|string|372891|383796|66421|37013|5.61405|10.3692|84607|90898|4.40733|4.22227|1.69678|Dict_1toN|21|17|4.880900|4.641440|4.880900|13.687447|0|54649|BP|-1|969|1086|-1|-1|-1|-1|-1.000000|21410|21430|0.999253|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|55959|55959|2732|11673|3880|3892|-1|-1|
CityMaxCapita_1|0|Equality|22|1|23_State_Country|2_City_State|string|string|1142397|806374|437616|53|2.6105|15214.6|209191|161893|5.46102|4.98091|0.847864|Equality|22|1|5.461363|4.981892|5.461363|19198.761905|0|161818|-1|-1|5751|5292|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|23966|-1|-1|-1|-1|-1|32|
CityMaxCapita_1|0|Dict_1to1|22|2|23_State_Country|3_City|string|string|1142397|660352|437616|139288|2.6105|4.74091|209191|135033|5.46102|4.8903|0.596675|Dict_1to1|22|2|5.461363|4.892040|5.461363|7.646237|0|48622|BP|-1|5751|4536|0|0|16|-1|-1.000000|23016|75872|0.998893|63319|63338|0.999747|-1.000000|-1|-1|-1|-1|2|21554|-1|-1|-1|-1|-1|48|
CityMaxCapita_1|0|Dict_Sharing|22|28|23_State_Country|29_User Loc|string|string|1142397|795139|437616|130957|2.6105|6.07176|209191|392334|5.46102|2.02669|1.05796|Dict_Sharing|22|28|5.461363|2.070001|2.512552|6.384812|-245498|259589|-1|-1|5751|14506|-1|-1|-1|-1|-1.000000|349645|349670|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|2|25096|124536|130945|-1|-1|-1|-1|
CMSprovider_1|0|Dict_1toN|6|5|7_HCPCS_DESCRIPTION|6_HCPCS_CODE|string|string|4087274|589823|161557|22804|25.2993|25.8649|174255|100977|23.4557|5.84116|1.4929|Dict_1toN|6|5|23.456917|5.841683|23.456917|26.178288|0|78437|BP|-1|1439|1521|-1|-1|-1|-1|-1.000000|13689|13709|0.998833|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|3064|3305|5760|5772|-1|-1|
CMSprovider_1|0|Dict_1to1|7|14|8_HCPCS_DRUG_INDICATOR|15_NPPES_PROVIDER_COUNTRY|string|string|327683|393218|2119|545|154.64|721.501|10301|34926|31.8108|11.2586|16.9771|Dict_1to1|7|14|31.838613|11.261506|31.838613|814.115942|0|34434|-1|-1|1|9|50|49|400|416|0.942308|16|16|0.250000|55|74|0.783784|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9|
