Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1157910|1.01098|10|52|2|1|1
Bimbo_1|3670016|319324|250523|1.27463|12|592|19|2|1
CityMaxCapita_1|26049426|11018728|10674730|1.03223|31|1353|125|7|1.75
CMSprovider_1|16717728|3729276|3340212|1.11648|26|1163|182|11|1.83333
CommonGovernment_1|62829650|8193179|6867595|1.19302|56|6987|691|27|2.25
Corporations_1|11901857|5105751|3448844|1.48042|27|918|422|9|1.5
Eixo_1|60077487|5892367|4596693|1.28187|71|15388|3252|39|2.29412
Euro2016_1|11418716|5779460|5233302|1.10436|10|119|44|3|1.5
Food_1|2758131|515805|515949|0.999721|6|70|0|0|0
Generico_1|42738694|2805958|1741495|1.61124|42|5804|457|21|2.625
HashTags_1|92542033|34753667|23898319|1.45423|99|20015|829|20|1.25
Hatred_1|26027696|11533096|11359490|1.01528|31|1178|94|4|1.33333
IGlocations1_1|6321918|1779851|1759931|1.01132|18|660|6|2|1
Medicare1_1|12973420|3996314|3224901|1.23921|26|894|44|8|1.6
MedPayment1_1|16768400|4681724|4512731|1.03745|28|1191|97|6|1.2
MLB_1|18994088|2380651|2091615|1.13819|48|8256|119|13|1.44444
Motos_1|42974217|2829428|1756673|1.61067|43|6090|479|21|2.33333
MulheresMil_1|62416953|5964864|4661474|1.27961|72|15881|3301|38|2.23529
NYC_1|36490617|3139541|1498166|2.09559|48|5382|999|24|2.4
PanCreactomy1_1|18360922|4037727|3634357|1.11099|29|1555|205|11|1.57143
Physicians_1|16768116|4686462|4514892|1.038|28|1191|93|6|1.2
Provider_1|16202756|4588180|4478164|1.02457|28|1221|83|7|1.4
RealEstate1_1|17820728|4838606|4394374|1.10109|26|1330|105|9|1.5
Redfin1_1|22150976|9242876|8999936|1.02699|42|1398|51|6|1.2
Rentabilidad_1|70851322|16198993|14830060|1.09231|139|21693|1366|30|2.5
Romance_1|21518242|9890137|9865871|1.00246|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8439560|1.10316|57|3588|257|16|2
TableroSistemaPenal_1|23289522|802109|294911|2.71983|27|2252|135|13|1.85714
Taxpayer_1|16195222|4592886|4486786|1.02365|28|1222|81|7|1.4
Telco_1|92222061|23897338|22194161|1.07674|176|54777|2055|52|1.06122
TrainsUK1_2|22067864|3440367|2815990|1.22173|27|1629|110|13|1.85714
TrainsUK2_1|18144855|3140981|2448658|1.28274|29|2406|307|12|1.71429
Uberlandia_1|61320125|5959002|4651564|1.28107|72|15592|3372|37|2.05556
USCensus_1|137735464|8738400|7971069|1.09626|518|533880|4944|45|1.65385
Wins_1|88869327|14701699|13588018|1.08196|254|174072|3329|61|1.525
YaleLanguages_1|18012366|1520217|732285|2.07599|28|2358|468|17|2.83333
Average compression_ratio_improvement: 1.25961
Total ECRs computed: 912192
