Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1170865|0.999794|6|0|0
Bimbo_1|0|3670016|319324|297975|1.07165|101|12|1
CityMaxCapita_1|0|26049426|11018728|11015864|1.00026|128|66|5
CMSprovider_1|0|16717728|3729276|3724121|1.00138|82|32|1
CommonGovernment_1|0|62829650|8193179|8068158|1.0155|397|19|6
Corporations_1|0|11901857|5105751|5106288|0.999895|92|0|0
Eixo_1|0|60077487|5892367|5431695|1.08481|769|168|10
Euro2016_1|0|11418716|5779460|5779701|0.999958|11|0|0
Food_1|0|2758131|515805|530844|0.97167|12|6|1
Generico_1|0|42738694|2805958|2657934|1.05569|574|148|6
HashTags_1|0|92542033|34753667|34741061|1.00036|2667|282|5
Hatred_1|0|26027696|11533096|11540980|0.999317|130|65|5
IGlocations1_1|0|6321918|1779851|1860125|0.956845|114|42|7
Medicare1_1|0|12973420|3996314|3991848|1.00112|143|75|4
MedPayment1_1|0|16768400|4681724|4689854|0.998266|82|29|1
MLB_1|0|18994088|2380651|2275628|1.04615|1288|742|15
Motos_1|0|42974217|2829428|2672884|1.05857|588|158|6
MulheresMil_1|0|62416953|5964864|5503623|1.08381|781|165|10
NYC_1|0|36490617|3139541|3097981|1.01342|153|71|3
PanCreactomy1_1|0|18360922|4037727|4034470|1.00081|92|34|1
Physicians_1|0|16768116|4686462|4694424|0.998304|82|29|1
Provider_1|0|16202756|4588180|4548410|1.00874|121|44|3
RealEstate1_1|0|17820728|4838606|4741698|1.02044|85|1|1
Redfin1_1|0|22150976|9242876|9211167|1.00344|79|42|4
Rentabilidad_1|0|70851322|16198992|16140340|1.00363|1188|120|5
Romance_1|0|21518242|9890585|9866201|1.00247|5|2|1
SalariesFrance_1|0|48707783|9310155|9321888|0.998741|174|80|3
TableroSistemaPenal_1|0|23289522|802109|746339|1.07472|104|4|1
Taxpayer_1|0|16195222|4592886|4556253|1.00804|121|43|3
Telco_1|0|92222061|23897338|23901572|0.999823|94|0|0
TrainsUK1_2|0|22067864|3440367|3437845|1.00073|92|36|2
TrainsUK2_1|0|18144855|3140981|2943184|1.06721|338|97|6
Uberlandia_1|0|61320125|5959002|5344957|1.11488|976|169|12
USCensus_1|0|137735464|8738400|8742132|0.999573|91912|11633|125
Wins_1|0|88869327|14701699|14441768|1.018|29729|10489|126
YaleLanguages_1|0|18012366|1520217|1252672|1.21358|202|58|6
