Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|DFOR|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|49881|8332|5.25539|31.4623|39868|39936|6.5753|6.5641|1.3709|DFOR|3|11|6.575298|6.564103|5.730550|71.839956|0|30410|BP|BP|176|176|-1|-1|-1|-1|-1.000000|705|716|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|2000|0|0|2944|7600|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|0|16|1_City_Admin|17_Listed Number|string|integer|545836|262144|7663|43017|71.2301|6.09396|15845|42969|34.4485|6.10077|1.1605|DFOR|0|16|34.476756|6.102048|34.476756|8.414727|0|11807|-1|BP|2|613|-1|-1|-1|-1|-1.000000|9|20|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|5881|2|1|31144|42981|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|0|6|1_City_Admin|7_Favorites|string|integer|545836|262144|7663|125756|71.2301|2.08454|15845|121796|34.4485|2.15232|1.03164|DFOR|0|6|34.476756|2.152320|34.476756|2.360531|0|10743|-1|BP|2|17585|-1|-1|-1|-1|-1.000000|9|20|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|614530|2|0|111044|125720|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|0|25|1_City_Admin|26_Tweets|string|integer|545836|262144|7663|136084|71.2301|1.92634|15845|133436|34.4485|1.96457|1.0385|DFOR|0|25|34.476756|1.964567|34.476756|2.117189|0|9618|-1|BP|2|29690|-1|-1|-1|-1|-1.000000|9|20|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|727620|2|0|123808|136048|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|0|8|1_City_Admin|9_Followers|string|integer|545836|262144|7663|101244|71.2301|2.58923|15845|97136|34.4485|2.69873|1.03741|DFOR|0|8|34.476756|2.698732|34.476756|2.975764|0|9043|BP|BP|2|5278|-1|-1|-1|-1|-1.000000|9|20|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|1183506|2|0|88084|101208|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|23|9|24_State|10_Following|string|integer|388154|262144|33945|96548|11.4348|2.71517|43423|93092|8.9389|2.81597|1.04615|DFOR|23|9|8.947145|2.815967|8.947145|3.054259|0|7263|BP|BP|50|3875|-1|-1|-1|-1|-1.000000|201|212|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|97786|2533|0|85628|96320|-1|-1|-1|-1|
CMSprovider_1|0|DFOR|4|3|5_BENE_UNIQUE_CNT|4_BENE_DAY_SRVC_CNT|integer|integer|262144|262144|74638|52829|3.51221|4.96212|64393|68805|4.071|3.80996|1.04496|DFOR|4|3|4.071571|3.810454|3.764868|8.183561|0|31519|BP|BP|794|1210|-1|-1|-1|-1|-1.000000|3177|3188|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|8539|1|1|28856|49625|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|14|24|15_co_name|25_fk_rec_mat|string|integer|3145681|262144|152293|33468|20.6555|7.83268|156335|29589|20.1214|8.85951|1.00088|DFOR|14|24|20.122571|10.702813|20.122571|13.537000|0|5128|-1|BP|1486|5|-1|-1|-1|-1|-1.000000|5945|5956|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|3|1|5384|13420|27496|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|14|23|15_co_name|24_fk_epa_des_prod|string|integer|3145681|262144|152293|30760|20.6555|8.52224|156335|29101|20.1214|9.00808|1.01302|DFOR|14|23|20.122571|10.265262|20.122571|12.265194|0|4164|BP|BP|1486|7|-1|-1|-1|-1|-1.000000|5945|5956|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|5|1|4193|15428|24788|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|20|21|21_count_fetched|22_count_total|integer|integer|262144|262144|59029|4244|4.44094|61.7681|60270|60270|4.34949|4.34949|1.90508|DFOR|20|21|4.349494|4.349494|4.300192|62.459852|0|55382|-1|BP|536|536|-1|-1|-1|-1|-1.000000|2145|2156|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|47374150|0|0|2052|2072|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|20|5|21_count_fetched|6_ase_rowid|integer|integer|262144|262144|59029|161144|4.44094|1.62677|60270|155296|4.34949|1.68803|0.979076|DFOR|20|5|4.349494|1.688028|4.300192|1.821444|0|10684|BP|BP|536|45732|-1|-1|-1|-1|-1.000000|2145|2156|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|7068446|0|0|141776|158972|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|22|27|23_description|28_funding_agency_key|string|integer|2864853|262144|29020|2276|98.72|115.178|39706|4866|72.1516|53.8726|1.42421|DFOR|22|27|72.151640|53.872585|72.151640|117.606101|0|2637|BP|BP|44|44|-1|-1|-1|-1|-1.000000|177|188|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|244528410|1704064396|0|0|2052|2072|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|44|45|45_psc_code_description|46_psc_key|string|integer|3211051|262144|106442|5196|30.1671|50.4511|117352|57213|27.3626|4.5819|1.56367|DFOR|44|45|27.362559|4.581816|27.362559|50.911633|0|52064|BP|BP|774|774|-1|-1|-1|-1|-1.000000|3097|3108|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1653019798|-1226718722|0|0|2052|2072|-1|-1|-1|-1|
Eixo_1|0|DFOR|5|9|8_ch_catalogo_guia|12_ch_min_financiavel|string|integer|510497|262144|13538|2344|37.7085|111.836|24716|34141|20.6545|7.67828|3.70589|DFOR|5|9|20.829811|7.725341|20.829811|125.487793|0|31844|-1|BP|9|10|-1|-1|-1|-1|-1.000000|37|48|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|1200|1396|1396|2052|2280|-1|-1|-1|-1|
Eixo_1|0|DFOR|5|7|8_ch_catalogo_guia|10_ch_max_financiavel|string|integer|510497|262144|13538|2344|37.7085|111.836|24716|34141|20.6545|7.67828|3.70589|DFOR|5|7|20.829811|7.725341|20.829811|125.487793|0|31844|BP|BP|9|10|-1|-1|-1|-1|-1.000000|37|48|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|1440|1396|1396|2052|2280|-1|-1|-1|-1|
Eixo_1|0|DFOR|8|10|11_ch_maxima_permitida|13_ch_minima_do_curso|integer|integer|262144|262144|21285|2156|12.3159|121.588|34749|34749|7.54393|7.54393|2.96481|DFOR|8|10|7.543929|7.543929|7.543929|124.297771|0|32640|BP|BP|14|14|-1|-1|-1|-1|-1.000000|57|68|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|160|1200|0|0|2052|2072|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|15|30_ds_identificador_turma|18_codigo_da_oferta|string|integer|5325156|262144|212260|14832|25.0879|17.6742|214634|94573|24.8104|2.77187|1.36159|DFOR|22|15|24.810403|2.771869|24.810403|22.809014|0|83080|-1|BP|1908|2524|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|12|231923|0|0|3860|7172|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|6|30_ds_identificador_turma|9_ch_da_oferta|string|integer|5325156|262144|212260|11324|25.0879|23.1494|214634|58281|24.8104|4.49793|1.22064|DFOR|22|6|24.810403|4.497932|24.810403|26.024422|0|48208|-1|BP|1908|108|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|160|1870|0|0|2440|3664|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|69|30_ds_identificador_turma|79_vagas|string|integer|5325156|262144|212260|12120|25.0879|21.629|214634|50849|24.8104|5.15534|1.18318|DFOR|22|69|24.810403|5.155342|24.810403|24.616772|0|40200|-1|BP|1908|62|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|300|0|0|3016|4460|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|11|30_ds_identificador_turma|14_co_matricula_estudante|string|integer|5325156|262144|212260|116528|25.0879|2.24962|214634|145012|24.8104|1.80774|1.09385|DFOR|22|11|24.810403|1.809137|24.810403|2.394862|0|35439|BP|BP|1908|64102|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|5556551|0|1424|101828|108868|-1|-1|-1|-1|
Eixo_1|0|DFOR|35|13|43_municipio_da_ue|16_cod_ibge_da_ue|string|integer|1007176|262144|67960|3980|14.8201|65.8653|77522|74261|12.9921|3.53004|2.10986|DFOR|35|13|12.992131|3.530036|12.992131|73.204133|0|70680|BP|BP|382|384|-1|-1|-1|-1|-1.000000|1529|1540|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1100049|5300108|0|0|2052|2424|-1|-1|-1|-1|
Eixo_1|0|DFOR|48|16|56_nome_do_curso|19_codigo_do_curso|string|integer|2133791|262144|72382|3644|29.4796|71.9385|85012|58097|25.0999|4.51218|1.88237|DFOR|48|16|25.099880|4.512178|25.099880|79.995117|0|54820|BP|BP|306|311|-1|-1|-1|-1|-1.000000|1225|1236|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1|232050|0|0|2052|2392|-1|-1|-1|-1|
Eixo_1|0|DFOR|62|63|72_total_conf_freq_aluno|73_total_freq_aluno|string|integer|342101|262144|35375|39544|9.6707|6.62917|36729|36144|9.31419|7.25277|0.972691|DFOR|62|63|9.336563|7.280969|9.336563|10.971582|0|12111|BP|BP|26|32|-1|-1|-1|-1|-1.000000|105|116|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|32|1700|1486|23788|39412|-1|-1|-1|-1|
Food_1|0|DFOR|4|1|5_subscribers|2_activity_sec|integer|integer|262144|262144|29525|115428|8.87871|2.27106|26633|103377|9.84283|2.53581|0.896911|DFOR|4|1|9.842827|2.535806|9.842827|2.782934|0|9180|BP|BP|156|4352|-1|-1|-1|-1|-1.000000|625|636|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|2171200|0|0|93572|114776|-1|-1|-1|-1|
Generico_1|0|DFOR|1|28|2_Aviso|30_Posicion_Edicion|string|integer|893891|262144|15460|30452|57.8196|8.60843|23578|29180|37.9121|8.98369|1.14911|DFOR|1|28|37.912079|8.983687|37.912079|11.359535|0|6103|-1|BP|11|76|-1|-1|-1|-1|-1.000000|45|56|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|75|0|0|23032|30380|-1|-1|-1|-1|
Generico_1|0|DFOR|1|11|2_Aviso|12_De_Npags|string|integer|893891|262144|15460|33208|57.8196|7.894|23578|33121|37.9121|7.91474|1.16502|DFOR|1|11|37.912079|7.914737|37.912079|9.249638|0|4780|BP|BP|11|42|-1|-1|-1|-1|-1.000000|45|56|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|116|0|0|28296|33136|-1|-1|-1|-1|
Generico_1|0|DFOR|9|6|10_Concatenar 2|7_Codigo|string|integer|4729807|262144|434210|20764|10.8929|12.6249|454428|98381|10.4083|2.66458|1.21503|DFOR|9|6|10.408265|2.664580|10.408265|12.653570|0|77664|BP|BP|4666|4594|-1|-1|-1|-1|-1.000000|18665|18676|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|50|1233621|0|0|2052|2072|-1|-1|-1|-1|
Generico_1|0|DFOR|29|13|31_PrimeraLinea|14_Disco|string|integer|3190765|262144|268441|28073|11.8863|9.33794|283607|45126|11.2507|5.80916|1.10866|DFOR|29|13|11.250657|7.100902|11.250657|17.503105|0|21940|-1|BP|3024|76|-1|-1|-1|-1|-1.000000|12097|12108|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|132|0|35236|2880|15949|-1|-1|-1|-1|
Generico_1|0|DFOR|29|14|31_PrimeraLinea|15_Duracion|string|integer|3190765|262144|268441|44816|11.8863|5.84934|283607|48660|11.2507|5.38726|1.06068|DFOR|29|14|11.250657|5.387259|11.250657|8.274486|0|16979|BP|BP|3024|213|-1|-1|-1|-1|-1.000000|12097|12108|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|790|0|0|19584|32692|-1|-1|-1|-1|
Generico_1|0|DFOR|40|10|42_www1|11_Corte|string|integer|2293733|262144|2149|28560|1067.35|9.17871|10331|28516|222.024|9.19287|1.265|DFOR|40|10|222.217884|9.192874|222.217884|11.265804|0|5247|BP|BP|1|44|-1|-1|-1|-1|-1.000000|5|16|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|43|1|0|23264|28528|-1|-1|-1|-1|
