Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165949|1.00401|10|12|2|1|1
Bimbo_1|3670016|319324|270967|1.17846|12|132|15|4|1.33333
CityMaxCapita_1|26049426|11018728|10796165|1.02062|31|380|89|6|1
CMSprovider_1|16717728|3729276|3403473|1.09573|26|342|134|11|1.83333
CommonGovernment_1|62829650|8193179|7247618|1.13047|56|2070|431|22|1.69231
Corporations_1|11901857|5105751|3074992|1.66041|27|240|145|10|5
Eixo_1|60077487|5892367|4765269|1.23652|71|4160|2052|33|1.73684
Euro2016_1|11418716|5779460|5241795|1.10257|10|30|22|4|4
Food_1|2758131|515805|527059|0.978648|6|20|3|3|3
Generico_1|42738694|2805958|2136577|1.3133|42|1722|392|20|2.22222
HashTags_1|92542033|34753667|34522708|1.00669|99|5402|873|15|2.14286
Hatred_1|26027696|11533096|11377224|1.0137|31|342|63|7|1.4
IGlocations1_1|6321918|1779851|1773271|1.00371|18|56|4|1|1
Medicare1_1|12973420|3996314|3818183|1.04665|26|240|41|8|1.6
MedPayment1_1|16768400|4681724|4566412|1.02525|28|306|77|9|2.25
MLB_1|18994088|2380651|2342147|1.01644|48|2256|327|33|6.6
Motos_1|42974217|2829428|2155964|1.31237|43|1806|405|21|2.1
MulheresMil_1|62416953|5964864|4735662|1.25956|72|4290|2055|36|2.11765
NYC_1|36490617|3139541|1730047|1.81471|48|1482|604|23|2.875
PanCreactomy1_1|18360922|4037727|3688748|1.09461|29|462|162|11|1.22222
Physicians_1|16768116|4686462|4571766|1.02509|28|306|75|9|2.25
Provider_1|16202756|4588180|4503655|1.01877|28|306|53|6|1.5
RealEstate1_1|17820728|4838606|4517898|1.07099|26|420|94|8|1.14286
Redfin1_1|22150976|9242876|9195437|1.00516|42|306|48|10|3.33333
Rentabilidad_1|70851322|16198993|15424556|1.05021|139|6924|1152|27|2.07692
Romance_1|21518242|9890137|9890401|0.999973|11|2|0|0|0
SalariesFrance_1|48707783|9310155|8560832|1.08753|57|992|176|19|2.11111
TableroSistemaPenal_1|23289522|802109|377355|2.12561|27|702|121|11|1.375
Taxpayer_1|16195222|4592886|4528482|1.01422|28|306|67|9|2.25
Telco_1|92222061|23897338|23633567|1.01116|176|10932|1398|95|5.9375
TrainsUK1_2|22067864|3440367|3089147|1.11369|27|552|83|14|1.75
TrainsUK2_1|18144855|3140981|2536756|1.23819|29|702|215|14|1.55556
Uberlandia_1|61320125|5959002|4709105|1.26542|72|4290|2120|37|2.17647
USCensus_1|137735464|8738400|8883680|0.983646|518|92702|8695|146|4.5625
Wins_1|88869327|14701699|14429429|1.01887|254|34686|7023|171|4.5
YaleLanguages_1|18012366|1520217|838073|1.81394|28|650|320|15|1.875
Average compression_ratio_improvement: 1.17102
Total ECRs computed: 180528
