Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CMSprovider_1|0|Dict_1to1|7|12|8_HCPCS_DRUG_INDICATOR|13_NPPES_ENTITY_CODE|string|string|327683|327683|2119|933|154.64|351.214|10301|10322|31.8108|31.7461|6.75721|Dict_1to1|7|12|31.838613|31.773781|31.838613|6971.978723|0|10266|BP|-1|1|2|0|103|8|848|0.971698|16|16|0.250000|11|30|0.466667|-1.000000|-1|-1|-1|-1|1|1|-1|-1|-1|-1|-1|9|
CMSprovider_1|0|Dict_1toN|9|11|10_MEDICARE_PARTICIPATION_INDICATOR|12_NPPES_CREDENTIALS|string|string|327683|476945|2656|57157|123.375|8.34447|18010|77944|18.1945|6.11907|1.60423|Dict_1toN|9|11|18.203600|6.346151|18.203600|9.563766|0|25285|BP|-1|2|436|-1|-1|-1|-1|-1.000000|6920|5706|0.997196|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1386|42920|51409|12|24|-1|-1|
CMSprovider_1|0|Dict_1toN|16|17|17_NPPES_PROVIDER_STATE|18_NPPES_PROVIDER_STREET1|string|string|393218|1417689|20774|242546|18.9284|5.84503|33512|269587|11.7336|5.25874|1.15107|Dict_1toN|16|17|11.736800|5.258919|11.736800|6.427767|0|49021|BP|-1|58|7285|-1|-1|-1|-1|-1.000000|160995|161015|0.999901|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|1|1|59308|81265|236|248|-1|-1|
CMSprovider_1|0|Dict_1to1|19|13|20_NPPES_PROVIDER_ZIP|14_NPPES_PROVIDER_CITY|integer|string|262144|856974|128253|49750|2.04396|17.2256|130225|111579|2.01301|7.68042|1.35843|Dict_1to1|19|13|2.013379|7.681043|2.013379|17.779544|0|63370|-1|-1|6757|1599|0|203|144|1648|0.985437|27040|27040|0.999556|21004|21023|0.999239|-1.000000|-1|-1|-1|-1|18|1|-1|-1|-1|-1|-1|9|
CMSprovider_1|0|Dict_1to1|19|18|20_NPPES_PROVIDER_ZIP|19_NPPES_PROVIDER_STREET2|integer|string|262144|574745|128253|144886|2.04396|3.96688|130225|152459|2.01301|3.76983|1.03495|Dict_1to1|19|18|2.013379|3.984367|2.013379|6.630959|0|57574|BP|-1|6757|2535|1588|7049|12704|56416|0.999575|27040|33292|0.811847|46920|46939|0.999659|-1.000000|-1|-1|-1|-1|18|38889|-1|-1|-1|-1|-1|8209|
CMSprovider_1|0|Dict_Sharing|20|10|21_Number of Records|11_NPI|integer|integer|262144|262144|60821|116772|4.31009|2.24492|4|175477|65536|1.49389|0.988108|Dict_Sharing|20|10|65536.000000|1.493894|4.351877|2.846916|-60233|83397|-1|-1|1|14681|-1|-1|-1|-1|-1.000000|58172|58736|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|92080|116760|-1|-1|-1|-1|
CommonGovernment_1|0|Dict_1to1|3|4|4_ag_name|5_agency_code|string|string|3538948|393220|26971|452|131.213|869.956|40481|40921|87.4224|9.60925|2.96838|Dict_1to1|3|4|87.422445|9.609247|87.422445|947.518072|0|40506|BP|-1|39|39|0|0|0|-1|-1.000000|168|168|0.928571|235|254|0.937008|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Equality|10|37|11_baseandexercisedoptionsvalue|38_obligatedamount|double|double|524288|524288|294673|70989|1.77922|7.38548|294649|298765|1.77936|1.75485|1.62285|Equality|10|37|1.779365|1.754851|1.779365|8.036530|0|233526|PSEUDODECIMAL|-1|35778|37698|5262|5912|657|70968|0.999662|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|12|1|13_bureau_name|2_a_aid_acontid_agencyid|string|string|2883588|524292|42225|4982|68.291|105.237|60307|62986|47.8151|8.32395|2.61175|Dict_1to1|12|1|47.815146|8.323813|47.815146|324.237477|0|61369|-1|-1|136|131|0|413|0|3328|0.992788|556|556|0.978417|1049|1068|0.985019|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|12|19|13_bureau_name|20_contractingofficeagencyid|string|string|2883588|524292|42225|1750|68.291|299.595|60307|57915|47.8151|9.05278|2.68839|Dict_1to1|12|19|47.815146|9.052784|47.815146|313.384340|0|56242|-1|-1|136|138|0|2|0|40|0.400000|556|556|0.978417|1105|1124|0.985765|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|12|11|13_bureau_name|12_bureau_code|string|string|2883588|393220|42225|1032|68.291|381.027|60307|29641|47.8151|13.2661|2.07939|Dict_1to1|12|11|47.815146|13.266084|47.815146|395.195980|0|28646|BP|-1|136|71|0|0|0|-1|-1.000000|556|556|0.978417|427|446|0.964126|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|13|7|14_cd_contactiontype|8_award_type_code|string|string|327684|327684|12038|107|27.2208|3062.47|14228|14228|23.0309|23.0309|2.34302|Dict_1to1|13|7|23.030925|23.030925|23.030925|4681.200000|0|14158|-1|-1|5|5|0|0|0|-1|-1.000000|32|32|0.625000|26|45|0.644444|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|13|6|14_cd_contactiontype|7_award_type|string|string|327684|1163451|12038|178|27.2208|6536.24|14228|14291|23.0309|81.4114|2.33456|Dict_1to1|13|6|23.030925|81.411448|23.030925|8251.425532|0|14150|BP|-1|5|5|0|0|0|-1|-1.000000|32|32|0.625000|97|116|0.862069|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1toN|15|14|16_co_state|15_co_name|string|string|391900|3145681|39875|122526|9.82821|25.6736|44641|156335|8.77893|20.1214|1.23753|Dict_1toN|15|14|8.808919|20.122571|8.808919|28.327219|0|45278|BP|-1|57|1486|-1|-1|-1|-1|-1.000000|76078|77107|0.999792|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|660|1|34720|45157|232|244|-1|-1|
CommonGovernment_1|0|Dict_1to1|18|50|19_contract_signeddate|51_signeddate|string|string|1572868|1507332|67493|3788|23.3042|397.923|66331|66193|23.7124|22.7718|1.85918|Dict_1to1|18|50|23.712412|22.771773|23.712412|401.848041|0|62442|BP|-1|138|138|0|0|0|-1|-1.000000|564|564|0.978723|3175|3194|0.994991|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Equality|20|21|21_count_fetched|22_count_total|integer|integer|262144|262144|60294|21|4.34776|12483|60270|60270|4.34949|4.34949|1.99851|Equality|20|21|4.349494|4.349494|4.349494|125.714286|0|58184|RLE|-1|536|536|0|0|21|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|22|16|23_description|17_code|string|string|2864853|393220|29020|502|98.72|783.307|39706|41423|72.1516|9.49279|2.74809|Dict_1to1|22|16|72.151640|9.492794|72.151640|845.634409|0|40958|-1|-1|44|44|0|0|0|-1|-1.000000|188|188|0.936170|265|284|0.943662|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|22|49|23_description|50_short_name|string|string|2864853|530086|29020|594|98.72|892.401|39706|37603|72.1516|14.0969|2.61056|Dict_1to1|22|49|72.151640|14.096907|72.151640|951.680431|0|37046|-1|-1|44|44|0|0|0|-1|-1.000000|188|188|0.936170|357|376|0.957447|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1to1|22|27|23_description|28_funding_agency_key|string|integer|2864853|262144|29020|406|98.72|645.675|39706|4866|72.1516|53.8726|1.51471|Dict_1to1|22|27|72.151640|53.872585|72.151640|695.342175|0|4489|BP|-1|44|44|0|0|0|-1|-1.000000|188|188|0.936170|177|188|0.936170|-1.000000|-1|-1|-1|-1|0|0|-1|-1|-1|-1|-1|0|
CommonGovernment_1|0|Dict_1toN|24|23|25_fk_rec_mat|24_fk_epa_des_prod|integer|integer|262144|262144|24953|11682|10.5055|22.44|29589|29101|8.85951|9.00808|1.60202|Dict_1toN|24|23|10.702813|10.265262|10.702813|13.124262|0|5563|BP|-1|5|7|-1|-1|-1|-1|-1.000000|1612|108|0.888889|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|5384|4193|18320|11520|24|36|-1|-1|
CommonGovernment_1|0|Dict_1to1|28|26|29_funding_agency_name|27_funding_agency|string|string|2883588|524256|29281|1026|98.4798|510.971|39475|41987|73.0485|12.4862|2.68789|Dict_1to1|28|26|73.048461|12.492101|73.048461|85.760838|0|35854|BP|-1|42|45|695|49|5560|416|0.942308|180|180|0.933333|361|380|0.957895|-1.000000|-1|-1|-1|-1|0|9|-1|-1|-1|-1|-1|20|
