Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|52|1|1|1
Bimbo_1|3670016|319324|263095|1.21372|12|592|20|3|1.5
CityMaxCapita_1|26049426|11018728|10872291|1.01347|31|1353|115|6|1.25
CMSprovider_1|16717728|3729276|3455810|1.07913|26|1163|172|10|1.28571
CommonGovernment_1|62829650|8193179|6983048|1.1733|56|6987|545|25|1.53333
Corporations_1|11901857|5105751|3737767|1.36599|27|918|228|8|1.16667
Eixo_1|60077487|5892367|4659225|1.26467|71|15388|2368|37|3.09091
Euro2016_1|11418716|5779460|5239309|1.1031|10|119|30|4|1.33333
Food_1|2758131|515805|514900|1.00176|6|70|5|3|2
Generico_1|42738694|2805958|1946715|1.44138|42|5804|520|16|1.625
HashTags_1|92542033|34753667|24034665|1.44598|99|20015|1121|27|1.30769
Hatred_1|26027696|11533096|11401371|1.01155|31|1178|129|6|1.66667
IGlocations1_1|6321918|1779851|1782777|0.998359|18|660|50|8|1
Medicare1_1|12973420|3996314|3726810|1.07231|26|894|60|6|2
MedPayment1_1|16768400|4681724|4600054|1.01775|28|1191|178|11|1.25
MLB_1|18994088|2380651|2276075|1.04595|48|8256|207|16|2.8
Motos_1|42974217|2829428|1892747|1.49488|43|6090|491|19|2
MulheresMil_1|62416953|5964864|4676730|1.27543|72|15881|2422|39|3.27273
NYC_1|36490617|3139541|1655728|1.89617|48|5382|1033|25|3.33333
PanCreactomy1_1|18360922|4037727|3733167|1.08158|29|1555|227|12|1.28571
Physicians_1|16768116|4686462|4565495|1.0265|28|1191|175|10|1
Provider_1|16202756|4588180|4487923|1.02234|28|1221|68|8|1.14286
RealEstate1_1|17820728|4838606|4490199|1.07759|26|1330|186|9|2.33333
Redfin1_1|22150976|9242876|9123278|1.01311|42|1398|357|21|2
Rentabilidad_1|70851322|16198993|15103720|1.07252|139|21693|1490|27|1.83333
Romance_1|21518242|9890137|9881317|1.00089|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8529167|1.09157|57|3588|1211|38|2
TableroSistemaPenal_1|23289522|802109|342322|2.34314|27|2252|112|12|2.4
Taxpayer_1|16195222|4592886|4519970|1.01613|28|1222|71|8|1.2
Telco_1|92222061|23897338|22549269|1.05978|176|54777|9322|69|1.17391
TrainsUK1_2|22067864|3440367|2948924|1.16665|27|1629|86|11|1.57143
TrainsUK2_1|18144855|3140981|2533464|1.2398|29|2406|189|12|1.375
Uberlandia_1|61320125|5959002|4938300|1.20669|72|15592|2784|39|2.61538
USCensus_1|137735464|8738400|8280658|1.05528|518|533880|7076|79|1.6
Wins_1|88869327|14701698|14037629|1.04731|254|174072|680|35|1.09524
YaleLanguages_1|18012366|1520217|798457|1.90394|28|2358|195|16|2.28571
Average compression_ratio_improvement: 1.20401
Total ECRs computed: 912192
