Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
Bimbo_1|0|DFOR|3|11|4_Demanda_uni_equil|12_Venta_uni_hoy|integer|integer|262144|262144|49881|8332|5.25539|31.4623|39868|39936|6.5753|6.5641|1.3709|DFOR|3|11|6.575298|6.564103|5.730550|18.755384|0|20082|BP|BP|176|176|-1|-1|-1|-1|-1.000000|705|716|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|2000|0|0|13272|7600|-1|-1|-1|-1|
Bimbo_1|0|DFOR|10|7|11_Venta_hoy|8_Producto_ID|double|integer|524288|262144|103937|139636|5.04429|1.87734|104724|68525|5.00638|3.82552|0.711282|DFOR|10|7|5.006331|3.825524|5.006331|8.103620|0|36176|BP|BP|2113|242|-1|-1|-1|-1|-1.000000|8453|8464|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|72|49492|0|0|23896|131156|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|5|16|6_FF Ratio|17_Listed Number|double|integer|524288|262144|62273|44633|8.41919|5.87332|57057|42969|9.18885|6.10077|0.935644|DFOR|5|16|9.188846|6.102048|9.188846|10.003587|0|16755|BP|BP|552|613|-1|-1|-1|-1|-1.000000|2209|2220|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|5881|0|1|23996|42397|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|9|25|10_Following|26_Tweets|integer|integer|262144|262144|113169|150320|2.31639|1.74391|93092|133436|2.81597|1.96457|0.859725|DFOR|9|25|2.815967|1.964567|2.400388|4.835445|0|63107|-1|BP|3875|29690|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|727620|0|0|38712|134792|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|9|6|10_Following|7_Favorites|integer|integer|262144|262144|113169|140484|2.31639|1.86601|93092|121796|2.81597|2.15232|0.847173|DFOR|9|6|2.815967|2.152320|2.400388|4.906032|0|52247|BP|BP|3875|17585|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|614530|0|0|37932|124956|-1|-1|-1|-1|
CityMaxCapita_1|0|DFOR|13|8|14_LPF|9_Followers|double|integer|524288|262144|147689|122144|3.54995|2.14619|146265|97136|3.58451|2.69873|0.902043|DFOR|13|8|3.584508|2.698732|3.584508|4.510625|0|39019|BP|BP|6538|5278|-1|-1|-1|-1|-1.000000|26153|26164|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|1183506|0|0|31964|95964|-1|-1|-1|-1|
CMSprovider_1|0|DFOR|5|10|6_HCPCS_CODE|11_NPI|string|integer|589823|262144|83299|253940|7.08079|1.03231|100977|175477|5.84116|1.49389|0.819757|DFOR|5|10|5.841683|1.493894|5.841683|1.566563|0|8140|BP|BP|1521|14681|-1|-1|-1|-1|-1.000000|6085|6096|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1|1992983688|1|0|161252|247828|-1|-1|-1|-1|
CMSprovider_1|0|DFOR|8|3|9_LINE_SRVC_CNT|4_BENE_DAY_SRVC_CNT|double|integer|524288|262144|87270|69481|6.00765|3.77289|81706|68805|6.41676|3.80996|0.960192|DFOR|8|3|6.417469|3.810454|6.417469|12.697699|0|48151|-1|BP|1263|1210|-1|-1|-1|-1|-1.000000|5053|5064|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|8539|1|1|15592|64401|-1|-1|-1|-1|
CMSprovider_1|0|DFOR|8|4|9_LINE_SRVC_CNT|5_BENE_UNIQUE_CNT|double|integer|524288|262144|87270|69545|6.00765|3.76942|81706|64393|6.41676|4.071|0.931665|DFOR|8|4|6.417469|4.071571|6.417469|7.431017|0|29107|BP|BP|1263|794|-1|-1|-1|-1|-1.000000|5053|5064|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|4749|1|1|30224|64465|-1|-1|-1|-1|
CMSprovider_1|0|DFOR|13|19|14_NPPES_PROVIDER_CITY|20_NPPES_PROVIDER_ZIP|string|integer|856974|262144|104993|252592|8.1622|1.03782|111579|130225|7.68042|2.01301|0.676214|DFOR|13|19|7.681043|2.013379|7.681043|2.072530|0|3716|BP|BP|1599|6757|-1|-1|-1|-1|-1.000000|6397|6408|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|999291231|1|18|120088|246168|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|14|5|15_co_name|6_ase_rowid|string|integer|3145681|262144|152293|177216|20.6555|1.47923|156335|155296|20.1214|1.68803|0.945744|DFOR|14|5|20.122571|1.688028|20.122571|3.046450|0|69247|BP|BP|1486|45732|-1|-1|-1|-1|-1.000000|5945|5956|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|7068446|1|0|80104|171244|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|21|20|22_count_total|21_count_fetched|integer|integer|262144|262144|59029|4244|4.44094|61.7681|60270|60270|4.34949|4.34949|1.90508|DFOR|21|20|4.349494|4.349494|4.300192|26.834272|0|49810|BP|BP|536|536|-1|-1|-1|-1|-1.000000|2145|2156|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|47374150|0|0|7624|2072|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|41|45|42_prod_or_serv_code|46_psc_key|string|integer|524292|262144|72633|5196|7.21837|50.4511|83543|57213|6.27571|4.5819|1.80853|DFOR|41|45|6.275714|4.581816|6.275714|24.451450|0|46492|BP|BP|774|774|-1|-1|-1|-1|-1.000000|3097|3108|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1653019798|-1226718722|0|0|7624|2072|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|42|23|43_prod_or_serv_code_desc|24_fk_epa_des_prod|string|integer|2555908|262144|93563|31456|27.3175|8.33367|104517|29101|24.4545|9.00808|1.06878|DFOR|42|23|24.454472|10.265262|24.454472|14.520800|0|7484|-1|BP|718|7|-1|-1|-1|-1|-1.000000|2873|2884|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|5|0|4193|15180|28556|-1|-1|-1|-1|
CommonGovernment_1|0|DFOR|42|24|43_prod_or_serv_code_desc|25_fk_rec_mat|string|integer|2555908|262144|93563|31676|27.3175|8.27579|104517|29589|24.4545|8.85951|1.0708|DFOR|42|24|24.454472|10.702813|24.454472|14.434447|0|6332|BP|BP|718|5|-1|-1|-1|-1|-1.000000|2873|2884|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|3|0|5384|15288|28776|-1|-1|-1|-1|
Corporations_1|0|DFOR|21|11|22_score|12_id|integer|integer|262144|262144|62325|176700|4.20608|1.48355|79077|172676|3.31505|1.51813|1.05325|DFOR|21|11|3.315047|1.518126|3.315047|1.668719|0|15583|-1|BP|668|65536|-1|-1|-1|-1|-1.000000|2673|2684|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|414171|3724739|0|0|154420|174000|-1|-1|-1|-1|
Corporations_1|0|DFOR|21|0|22_score|1_Id1|integer|integer|262144|262144|62325|160288|4.20608|1.63546|79077|155944|3.31505|1.68101|1.05574|DFOR|21|0|3.315047|1.681014|3.315047|1.770322|0|7867|BP|BP|668|65536|-1|-1|-1|-1|-1.000000|2673|2684|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|135|903485|0|0|145404|157588|-1|-1|-1|-1|
Eixo_1|0|DFOR|5|7|8_ch_catalogo_guia|10_ch_max_financiavel|string|integer|510497|262144|13538|2344|37.7085|111.836|24716|34141|20.6545|7.67828|3.70589|DFOR|5|7|20.829811|7.725341|20.829811|34.217987|0|26272|-1|BP|9|10|-1|-1|-1|-1|-1.000000|37|48|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|1440|1396|1396|7624|2280|-1|-1|-1|-1|
Eixo_1|0|DFOR|5|9|8_ch_catalogo_guia|12_ch_min_financiavel|string|integer|510497|262144|13538|2344|37.7085|111.836|24716|34141|20.6545|7.67828|3.70589|DFOR|5|9|20.829811|7.725341|20.829811|34.217987|0|26272|BP|BP|9|10|-1|-1|-1|-1|-1.000000|37|48|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|1200|1396|1396|7624|2280|-1|-1|-1|-1|
Eixo_1|0|DFOR|10|8|13_ch_minima_do_curso|11_ch_maxima_permitida|integer|integer|262144|262144|21285|2156|12.3159|121.588|34749|34749|7.54393|7.54393|2.96481|DFOR|10|8|7.543929|7.543929|7.543929|34.128889|0|27068|BP|BP|14|14|-1|-1|-1|-1|-1.000000|57|68|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|240|1440|0|0|7624|2072|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|11|30_ds_identificador_turma|14_co_matricula_estudante|string|integer|5325156|262144|212260|116528|25.0879|2.24962|214634|145012|24.8104|1.80774|1.09385|DFOR|22|11|24.810403|1.809137|24.810403|4.794411|0|90223|-1|BP|1908|64102|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|5556551|0|1424|47044|108868|-1|-1|-1|-1|
Eixo_1|0|DFOR|22|6|30_ds_identificador_turma|9_ch_da_oferta|string|integer|5325156|262144|212260|11324|25.0879|23.1494|214634|58281|24.8104|4.49793|1.22064|DFOR|22|6|24.810403|4.497932|24.810403|17.181884|0|43024|BP|BP|1908|108|-1|-1|-1|-1|-1.000000|7633|7644|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|160|1870|0|0|7624|3664|-1|-1|-1|-1|
Eixo_1|0|DFOR|24|15|32_dt_cadastro|18_codigo_da_oferta|string|integer|1519035|262144|159904|15004|9.49967|17.4716|159362|94573|9.53198|2.77187|1.45182|DFOR|24|15|9.531978|2.771869|9.531978|14.806213|0|76868|-1|BP|2520|2524|-1|-1|-1|-1|-1.000000|10081|10092|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|12|231923|0|0|7624|4896|-1|-1|-1|-1|
Eixo_1|0|DFOR|24|69|32_dt_cadastro|79_vagas|string|integer|1519035|262144|159904|14820|9.49967|17.6885|159362|50849|9.53198|5.15534|1.2031|DFOR|24|69|9.531978|5.155342|9.531978|14.806213|0|33144|BP|BP|2520|62|-1|-1|-1|-1|-1.000000|10081|10092|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|300|0|0|7624|4712|-1|-1|-1|-1|
Eixo_1|0|DFOR|35|13|43_municipio_da_ue|16_cod_ibge_da_ue|string|integer|1007176|262144|67960|3980|14.8201|65.8653|77522|74261|12.9921|3.53004|2.10986|DFOR|35|13|12.992131|3.530036|12.992131|28.640227|0|65108|BP|BP|382|384|-1|-1|-1|-1|-1.000000|1529|1540|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1100049|5300108|0|0|7624|2424|-1|-1|-1|-1|
Eixo_1|0|DFOR|48|16|56_nome_do_curso|19_codigo_do_curso|string|integer|2133791|262144|72382|3644|29.4796|71.9385|85012|58097|25.0999|4.51218|1.88237|DFOR|48|16|25.099880|4.512178|25.099880|29.624138|0|49248|BP|BP|306|311|-1|-1|-1|-1|-1.000000|1225|1236|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1|232050|0|0|7624|2392|-1|-1|-1|-1|
Eixo_1|0|DFOR|62|63|72_total_conf_freq_aluno|73_total_freq_aluno|string|integer|342101|262144|35375|39544|9.6707|6.62917|36729|36144|9.31419|7.25277|0.972691|DFOR|62|63|9.336563|7.280969|9.336563|12.082039|0|14307|BP|BP|26|32|-1|-1|-1|-1|-1.000000|105|116|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|32|1700|1486|21592|39412|-1|-1|-1|-1|
Food_1|0|DFOR|2|1|3_application|2_activity_sec|string|integer|900396|262144|105663|121328|8.52139|2.16062|104913|103377|8.58231|2.53581|0.917613|DFOR|2|1|8.630683|2.535806|8.630683|4.303015|0|42456|-1|BP|1596|4352|-1|-1|-1|-1|-1.000000|6385|6396|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|2171200|725|0|54536|114916|-1|-1|-1|-1|
Food_1|0|DFOR|2|4|3_application|5_subscribers|string|integer|900396|262144|105663|32428|8.52139|8.08388|104913|26633|8.58231|9.84283|0.952604|DFOR|2|4|8.630683|9.842827|8.630683|11.895630|0|4596|BP|BP|1596|156|-1|-1|-1|-1|-1.000000|6385|6396|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|1|191|725|0|15652|26016|-1|-1|-1|-1|
Generico_1|0|DFOR|4|13|5_Categoria|14_Disco|string|integer|1751997|262144|51780|48393|33.8354|5.41698|77334|45126|22.6549|5.80916|1.22249|DFOR|4|13|22.654938|7.100902|22.654938|15.528938|0|20036|BP|BP|284|76|-1|-1|-1|-1|-1.000000|1137|1148|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|132|0|35236|15744|47229|-1|-1|-1|-1|
Generico_1|0|DFOR|9|6|10_Concatenar 2|7_Codigo|string|integer|4729807|262144|434210|20764|10.8929|12.6249|454428|98381|10.4083|2.66458|1.21503|DFOR|9|6|10.408265|2.664580|10.408265|9.971623|0|72092|BP|BP|4666|4594|-1|-1|-1|-1|-1.000000|18665|18676|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|50|1233621|0|0|7624|2072|-1|-1|-1|-1|
Generico_1|0|DFOR|19|14|21_Hora_Pagina|15_Duracion|integer|integer|262144|262144|96421|54648|2.71874|4.79696|95517|48660|2.74447|5.38726|0.954378|DFOR|19|14|2.744475|5.387259|2.744475|12.267490|0|27291|-1|BP|1537|213|-1|-1|-1|-1|-1.000000|6149|6160|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|790|0|0|15220|48472|-1|-1|-1|-1|
Generico_1|0|DFOR|19|11|21_Hora_Pagina|12_De_Npags|integer|integer|262144|262144|96421|39136|2.71874|6.69828|95517|33121|2.74447|7.91474|0.948959|DFOR|19|11|2.744475|7.914737|2.744475|12.732236|0|12532|-1|BP|1537|42|-1|-1|-1|-1|-1.000000|6149|6160|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|116|0|0|14440|32960|-1|-1|-1|-1|
Generico_1|0|DFOR|19|28|21_Hora_Pagina|30_Posicion_Edicion|integer|integer|262144|262144|96421|36216|2.71874|7.23835|95517|29180|2.74447|8.98369|0.940137|DFOR|19|28|2.744475|8.983687|2.744475|12.877339|0|8823|BP|BP|1537|76|-1|-1|-1|-1|-1.000000|6149|6160|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|75|0|0|14208|30040|-1|-1|-1|-1|
Generico_1|0|DFOR|33|10|35_Soporte|11_Corte|string|integer|1243284|262144|85167|31080|14.5982|8.43449|92893|28516|13.384|9.19287|1.04441|DFOR|33|10|13.384044|9.192874|13.384044|14.399561|0|10311|BP|BP|631|44|-1|-1|-1|-1|-1.000000|2525|2536|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|43|0|0|15680|28528|-1|-1|-1|-1|
HashTags_1|0|DFOR|50|61|52_twitter#user#friends_count|63_twitter#user#statuses_count|integer|integer|262144|262144|102849|139324|2.54882|1.88154|90476|128084|2.89739|2.04666|0.902495|DFOR|50|61|2.897387|2.046657|2.645648|5.295304|0|69970|-1|BP|2734|23785|-1|-1|-1|-1|-1.000000|10937|10948|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|1404123|0|0|38568|128360|-1|-1|-1|-1|
HashTags_1|0|DFOR|50|48|52_twitter#user#friends_count|50_twitter#user#favourites_count|integer|integer|262144|262144|102849|118984|2.54882|2.20319|90476|104252|2.89739|2.51452|0.877813|DFOR|50|48|2.897387|2.514523|2.645648|6.347159|0|54342|-1|BP|2734|7135|-1|-1|-1|-1|-1.000000|10937|10948|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|0|485782|0|0|30364|108020|-1|-1|-1|-1|
