Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1157910|1.01098|52|3|1
Bimbo_1|0|3670016|319324|250511|1.27469|592|19|2
CityMaxCapita_1|0|26049426|11018728|10702016|1.02959|1353|124|5
CMSprovider_1|0|16717728|3729276|3375809|1.10471|1163|182|9
CommonGovernment_1|0|62829650|8193179|7158880|1.14448|6987|663|18
Corporations_1|0|11901857|5105751|3457713|1.47663|918|421|9
Eixo_1|0|60077487|5892367|4905226|1.20124|15388|3241|30
Euro2016_1|0|11418716|5779460|5244227|1.10206|119|44|2
Food_1|0|2758131|515805|515949|0.999721|70|0|0
Generico_1|0|42738694|2805958|1930193|1.45372|5804|411|14
HashTags_1|0|92542033|34753667|24222746|1.43475|20015|871|17
Hatred_1|0|26027696|11533096|11360429|1.0152|1178|94|4
IGlocations1_1|0|6321918|1779851|1759931|1.01132|660|6|2
Medicare1_1|0|12973420|3996314|3308881|1.20775|894|39|7
MedPayment1_1|0|16768400|4681724|4520576|1.03565|1191|93|7
MLB_1|0|18994088|2380651|2129710|1.11783|8256|156|13
Motos_1|0|42974217|2829428|1964769|1.44008|6090|433|14
MulheresMil_1|0|62416953|5964864|4931024|1.20966|15881|3278|30
NYC_1|0|36490617|3139541|1698474|1.84845|5382|968|18
PanCreactomy1_1|0|18360922|4037727|3664924|1.10172|1555|185|10
Physicians_1|0|16768116|4686462|4522486|1.03626|1191|94|7
Provider_1|0|16202756|4588180|4480169|1.02411|1221|105|8
RealEstate1_1|0|17820728|4838606|4525554|1.06917|1330|103|7
Redfin1_1|0|22150976|9242876|9001889|1.02677|1398|54|6
Rentabilidad_1|0|70851322|16198993|15046654|1.07658|21693|1340|20
Romance_1|0|21518242|9890528|9866319|1.00245|35|2|1
SalariesFrance_1|0|48707783|9310155|8646916|1.0767|3588|241|11
TableroSistemaPenal_1|0|23289522|802109|450228|1.78156|2252|141|9
Taxpayer_1|0|16195222|4592886|4489296|1.02307|1222|105|8
Telco_1|0|92222061|23897338|22200111|1.07645|54777|3401|56
TrainsUK1_2|0|22067864|3440367|2969950|1.15839|1629|99|9
TrainsUK2_1|0|18144855|3140981|2558128|1.22784|2406|319|10
Uberlandia_1|0|61320125|5959002|4951644|1.20344|15592|3355|31
USCensus_1|0|137735464|8738400|8039221|1.08697|533880|5190|38
Wins_1|0|88869327|14701699|13766667|1.06792|174072|3264|52
YaleLanguages_1|0|18012366|1520217|965478|1.57457|2358|442|11
