Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1157910|1.01098|10|52|3|1|1
Bimbo_1|3670016|319324|250547|1.27451|12|592|19|2|1
CityMaxCapita_1|26049426|11018728|10674730|1.03223|31|1353|119|7|1.75
CMSprovider_1|16717728|3729276|3340212|1.11648|26|1163|178|11|1.83333
CommonGovernment_1|62829650|8193179|6881758|1.19056|56|6987|668|26|2
Corporations_1|11901857|5105751|3626818|1.40778|27|918|421|9|1.5
Eixo_1|60077487|5892367|4594955|1.28236|71|15388|3224|38|2.23529
Euro2016_1|11418716|5779460|5233302|1.10436|10|119|44|3|1.5
Food_1|2758131|515805|515949|0.999721|6|70|0|0|0
Generico_1|42738694|2805958|1738543|1.61397|42|5804|432|21|3
HashTags_1|92542033|34753667|23895023|1.45443|99|20015|657|20|1.25
Hatred_1|26027696|11533096|11340816|1.01695|31|1178|90|4|1.33333
IGlocations1_1|6321918|1779851|1759931|1.01132|18|660|6|2|1
Medicare1_1|12973420|3996314|3224901|1.23921|26|894|44|8|1.6
MedPayment1_1|16768400|4681724|4513243|1.03733|28|1191|96|6|1.5
MLB_1|18994088|2380651|2091615|1.13819|48|8256|99|13|1.44444
Motos_1|42974217|2829428|1759710|1.60789|43|6090|447|20|2
MulheresMil_1|62416953|5964864|4598082|1.29725|72|15881|3278|39|2.6
NYC_1|36490617|3139541|1506530|2.08396|48|5382|957|23|2.09091
PanCreactomy1_1|18360922|4037727|3637581|1.11|29|1555|193|10|1.25
Physicians_1|16768116|4686462|4514892|1.038|28|1191|93|6|1.2
Provider_1|16202756|4588180|4478164|1.02457|28|1221|80|7|1.4
RealEstate1_1|17820728|4838606|4394374|1.10109|26|1330|88|9|1.5
Redfin1_1|22150976|9242876|8999936|1.02699|42|1398|51|6|1.2
Rentabilidad_1|70851322|16198480|14830060|1.09227|139|21693|1294|30|2.30769
Romance_1|21518242|9890137|9865871|1.00246|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8385645|1.11025|57|3588|246|17|2.42857
TableroSistemaPenal_1|23289522|802109|294911|2.71983|27|2252|134|13|1.85714
Taxpayer_1|16195222|4592886|4486786|1.02365|28|1222|76|7|1.4
Telco_1|92222061|23897338|22208593|1.07604|176|54777|1657|51|1.08511
TrainsUK1_2|22067864|3440367|2833459|1.21419|27|1629|104|12|1.5
TrainsUK2_1|18144855|3140981|2448658|1.28274|29|2406|288|12|1.71429
Uberlandia_1|61320125|5959002|4638694|1.28463|72|15592|3347|37|2.17647
USCensus_1|137735464|8738400|7971362|1.09622|518|533880|4485|44|1.61538
Wins_1|88869327|14701699|13593194|1.08155|254|174072|2998|57|1.5
YaleLanguages_1|18012366|1520217|699445|2.17346|28|2358|410|18|3.6
Average compression_ratio_improvement: 1.26048
Total ECRs computed: 912192
