Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|41537296|11775776|11732915|1.00365|100|520|14|10|1
Bimbo_1|36700160|3388515|3024113|1.1205|120|5881|364|26|1.2
CityMaxCapita_1|273133842|112769188|109541362|1.02947|310|13005|2263|116|1.34667
CMSprovider_1|167669286|34660118|32644240|1.06175|260|11977|1697|85|1.5125
CommonGovernment_1|615803908|67326270|52342989|1.28625|560|73721|5563|263|1.95819
Corporations_1|191441216|66321713|62054843|1.06876|270|8784|1466|66|1.3
Eixo_1|595836910|54600344|41229566|1.3243|710|154500|22980|384|3.11356
Euro2016_1|108201484|55170296|49643016|1.11134|100|1183|485|29|2.75
Food_1|29699908|4992611|4993129|0.999896|60|680|129|20|0.9
Generico_1|429148071|28475107|19306692|1.47488|420|58158|5471|184|1.77262
HashTags_1|721015748|260000097|180856605|1.4376|792|162475|12495|208|1.27254
Hatred_1|26027696|11533096|11344481|1.01663|31|1178|172|10|1.5
IGlocations1_1|7951530|2238731|2239268|0.99976|36|1190|285|19|1.25
Medicare1_1|130086340|40603460|36973792|1.09817|260|7988|1462|98|1.27333
MedPayment1_1|163445523|38436630|36300526|1.05884|280|11225|1690|91|1.44
MLB_1|22667733|2956897|2740829|1.07883|96|16039|3124|49|1.69192
Motos_1|431953524|28705841|19240885|1.49192|430|61008|5497|201|2.1002
MulheresMil_1|619543017|55157523|41435032|1.33118|720|158843|23200|392|3.33742
NYC_1|394637790|31053827|20526180|1.51289|480|42074|5874|128|2.14067
PanCreactomy1_1|184113574|38906083|36265138|1.07282|290|15265|2580|110|2.06333
Physicians_1|163447709|38276257|36169259|1.05825|280|11317|1716|94|1.45
Provider_1|157554198|37541040|35898467|1.04576|280|11322|1713|98|1.57
RealEstate1_1|178130790|48262499|44694621|1.07983|260|13401|1797|80|1.58
Redfin1_1|226809363|94046769|91971922|1.02256|420|19498|1824|124|1.29714
Rentabilidad_1|428425940|90577039|83945218|1.079|973|178847|12343|223|1.81997
Romance_1|237315727|102448431|102336814|1.00109|110|282|7|3|0.3
SalariesFrance_1|496731433|105264511|97066846|1.08445|570|33808|3571|180|1.67833
TableroSistemaPenal_1|229747271|7711435|2781585|2.77232|270|20900|1260|112|2.46
Taxpayer_1|157527092|37414467|35586675|1.05136|280|11560|1821|96|1.665
Telco_1|922028804|246672639|234229933|1.05312|1760|505228|110064|682|1.104
TrainsUK1_2|219662125|34569768|30637346|1.12835|270|16297|1844|114|1.26131
TrainsUK2_1|181585068|30938647|24533667|1.26107|290|24060|3674|139|1.83393
Uberlandia_1|609229758|54933136|41686642|1.31776|720|156184|22911|375|2.93383
USCensus_1|1375673149|153409692|153505287|0.999377|5180|5151360|386081|1552|1.23176
Wins_1|753989618|124189347|118118368|1.0514|2286|1561778|136289|1342|1.79134
YaleLanguages_1|182674410|14985628|7469935|2.00613|280|23580|3791|190|3.08119
Average compression_ratio_improvement: 1.21087
Total ECRs computed: 8545116
