Relation|RowGroup|C3_Scheme|source_id|target_id|source_name|target_name|source_type|target_type|uncompressed_source_size|uncompressed_target_size|c3_compressed_source_size|c3_compressed_target_size|c3_source_cr|c3_target_cr|bb_source_size|bb_target_size|bb_source_cr|bb_target_cr|scheme_total_cr_improvement|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
TrainsUK2_1|0|Numerical|18|17|26_v_Origin Lateness (WTT)|25_v_Origin Lateness (GBTT)|integer|integer|262144|262144|49366|44375|5.31021|5.90747|49342|47852|5.3128|5.47822|1.03684|Numerical|18|17|5.616128|5.614203|5.616128|23.447585|0|35513|DICT|BP|79|77|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.986185|-120|78|-120|79|1324|571|11180|44351|-1|-1|-1|-1|
Uberlandia_1|0|Numerical|9|5|12_ch_min_financiavel|8_ch_catalogo_guia|integer|integer|262144|262144|34241|2304|7.65585|113.778|34217|34217|7.66122|7.66122|1.8726|Numerical|9|5|7.708077|7.708077|7.708077|126.273603|0|31933|-1|BP|10|10|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|1.000000|0|1200|0|1200|1396|1396|2076|2280|-1|-1|-1|-1|
Uberlandia_1|0|Numerical|9|6|12_ch_min_financiavel|9_ch_da_oferta|integer|integer|262144|262144|34241|64200|7.65585|4.08324|34217|58293|7.66122|4.49701|0.939751|Numerical|9|6|7.708077|4.497007|7.708077|5.094527|0|6837|DICT|BP|10|109|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.737029|0|1200|160|1870|1396|0|51456|64176|-1|-1|-1|-1|
USCensus_1|0|Numerical|20|28|21_DDRS|29_DPHY|integer|integer|262144|262144|17196|10264|15.2445|25.5401|17172|17136|15.2658|15.2979|1.24938|Numerical|20|28|15.518825|15.551970|15.518825|29.023915|0|7824|PFOR|BP|3|3|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.747036|0|2|0|2|242|242|9032|10240|-1|-1|-1|-1|
USCensus_1|0|Numerical|44|35|45_FBDSP|36_ENG|integer|integer|262144|262144|230|100417|1139.76|2.61055|206|18373|1272.54|14.2679|0.184596|Numerical|44|35|1440.351648|25.791421|1440.351648|44.013432|0|4208|RLE|BP|2|5|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999841|0|1|0|4|62937|55656|5956|100393|-1|-1|-1|-1|
USCensus_1|0|Numerical|160|217|161_FSTOVP|218_MARHT|integer|integer|262144|262144|118|100417|2221.56|2.61055|94|20729|2788.77|12.6462|0.207122|Numerical|160|217|3744.914286|20.938019|3744.914286|29.721542|0|3700|RLE|BP|2|4|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.999947|0|1|0|3|62937|41438|8820|100393|-1|-1|-1|-1|
USCensus_1|0|Numerical|240|220|241_MSP|221_MAR|integer|integer|262144|262144|26060|10748|10.0592|24.39|26036|24728|10.0685|10.6011|1.37916|Numerical|240|220|10.448980|10.601100|10.448980|27.455383|0|15180|PFOR|BP|7|5|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.854702|0|6|1|5|1304|0|9548|10724|-1|-1|-1|-1|
USCensus_1|0|Numerical|244|344|245_NATIVITY|346_WAOB|integer|integer|262144|262144|5277|8208|49.6767|31.9376|5253|11573|49.9037|22.6513|1.24776|Numerical|244|344|49.903674|22.651344|49.903674|69.645058|0|7809|DICT|BP|2|8|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.867170|1|2|1|8|0|0|3764|8184|-1|-1|-1|-1|
USCensus_1|0|Numerical|273|190|274_PRIVCOV|191_HINS1|integer|integer|262144|262144|9205|6392|28.4784|41.0113|9181|9561|28.5529|27.4181|1.20164|Numerical|273|190|28.552881|27.418053|28.552881|62.355852|0|5357|DICT|BP|2|2|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.758285|1|2|1|2|0|0|4204|6368|-1|-1|-1|-1|
USCensus_1|0|Numerical|275|193|276_PUBCOV|194_HINS4|integer|integer|262144|262144|7917|5408|33.1115|48.4734|7893|9169|33.2122|28.5902|1.28045|Numerical|275|193|33.212213|28.590250|33.212213|64.887129|0|5129|DICT|BP|2|2|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.762229|1|2|1|2|0|0|4040|5384|-1|-1|-1|-1|
USCensus_1|0|Numerical|276|277|277_PUMA|278_PUMA1|integer|integer|262144|262144|84885|2096|3.08823|125.069|84861|84861|3.0891|3.0891|1.95125|Numerical|276|277|3.089099|3.089099|3.089099|126.273603|0|82785|DICT|BP|650|650|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|1.000000|100|12704|100|12704|0|0|2076|2072|-1|-1|-1|-1|
USCensus_1|0|Numerical|284|283|285_RAC2P|284_RAC1P|integer|integer|262144|262144|28588|18728|9.16972|13.9974|28563|21313|9.17775|12.2997|1.0541|Numerical|284|283|9.177426|12.299723|9.177426|14.163821|0|2805|PFOR|BP|64|9|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.979333|1|68|1|9|0|0|18508|18704|-1|-1|-1|-1|
USCensus_1|0|Numerical|315|314|316_SERIALNO1|315_SERIALNO|integer|integer|262144|262144|172616|2096|1.51865|125.069|172592|172592|1.51887|1.51887|1.97573|Numerical|315|314|1.518865|1.518865|1.518865|126.273603|0|170516|PFOR|BP|65476|65476|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|1.000000|19|1492843|19|1492843|0|0|2076|2072|-1|-1|-1|-1|
USCensus_1|0|Numerical|331|329|332_ST1|330_ST|integer|integer|262144|262144|41544|2096|6.31003|125.069|41520|41520|6.31368|6.31368|1.90284|Numerical|331|329|6.313680|6.313680|6.313680|126.273603|0|39444|PFOR|BP|25|25|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|1.000000|1|28|1|28|0|0|2076|2072|-1|-1|-1|-1|
USCensus_1|0|Numerical|336|297|337_TOIL|298_RELP|integer|integer|262144|262144|218|17860|1202.5|14.6777|194|40860|1351.26|6.41566|2.27094|Numerical|336|297|1542.023529|6.415663|1542.023529|16.557858|0|25028|RLE|BP|3|18|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|-0.969306|0|2|0|17|62937|0|15832|17836|-1|-1|-1|-1|
USCensus_1|0|Numerical|378|278|380_pwgtp30|279_PWGTP|integer|integer|262144|262144|65988|66720|3.9726|3.92902|65964|60964|3.97405|4.29998|0.956446|Numerical|378|278|3.974046|4.299980|3.974046|4.845187|0|6859|PFOR|BP|492|399|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.708871|0|1107|1|952|0|0|54104|66696|-1|-1|-1|-1|
Wins_1|0|Numerical|24|26|25_nCLASSX|27_nCLA|integer|integer|262144|262144|33352|10201|7.85992|25.6979|33328|23597|7.86558|11.1092|1.30703|Numerical|24|26|7.865578|11.113448|7.865578|29.507429|0|14704|PFOR|BP|11|5|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.838907|0|10|0|4|0|1|8884|10177|-1|-1|-1|-1|
Wins_1|0|Numerical|32|34|33_nCOURSE|35_nDS|integer|integer|262144|262144|20370|21645|12.8691|12.1111|20346|23585|12.8843|11.1149|1.0456|Numerical|32|34|12.890003|11.119104|12.890003|12.695854|0|2928|DICT|BP|6|7|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.893623|0|6|0|6|1|1|20648|21621|-1|-1|-1|-1|
Wins_1|0|Numerical|37|38|38_nEPR|39_nEPR_PAC|integer|integer|262144|262144|43234|34521|6.06338|7.59375|43210|43446|6.06674|6.03379|1.11447|Numerical|37|38|6.068008|6.035039|6.068008|7.798191|0|9821|DICT|BP|36|38|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.935902|0|114|0|118|1|1|33616|34497|-1|-1|-1|-1|
Wins_1|0|Numerical|54|149|55_nFTS|150_nRUNKS|integer|integer|262144|262144|11953|6249|21.9312|41.9498|11929|13909|21.9754|18.8471|1.41951|Numerical|54|149|21.991946|18.859281|21.991946|55.445008|0|9172|BP|BP|11|11|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.925377|0|10|0|10|1|1|4728|6225|-1|-1|-1|-1|
Wins_1|0|Numerical|65|63|66_nIMP4|64_nIMP2|integer|integer|262144|262144|68398|57540|3.83263|4.55586|68374|58092|3.83397|4.51257|1.00419|Numerical|65|63|3.834477|4.512566|3.834477|5.106038|0|6752|-1|BP|201|126|-1|-1|-1|-1|-1.000000|-1|-1|-1.000000|-1|-1|-1.000000|0.941788|0|322|0|145|1|0|51340|57516|-1|-1|-1|-1|
