Relation|RowGroup|Column|uncompressed|bb_compressed|c3_compressed|compression_ratio_improvement|bb_cr|c3_cr|datatype|C3_source_target|C3scheme|source_column|target_column|bb_source_ecr|bb_target_ecr|c3_source_ecr|c3_target_ecr|estimated_bytes_saved_source|estimated_bytes_saved_target|source_bb_scheme|target_bb_scheme|source_unique_count|target_unique_count|estimated_exception_count|real_exception_count|estimated_exception_size|real_exception_size|exception_compression_ratio|estimated_source_target_dict_size|real_source_target_dict_size|source_target_dict_compression_ratio|estimated_target_dict_size|real_target_dict_size|target_dict_compression_ratio|pearson_corr_coef|source_column_min|source_column_max|target_column_min|target_column_max|source_null_count|target_null_count|estimated_target_compressed_codes_size|real_target_compressed_codes_size|estimated_offsets_size|real_offsets_size|estimated_target_nullmap_size|real_target_nullmap_size
CityMaxCapita_1|0|3_City|660352|135033|86504|1.561|4.8903|7.63377|string|target|Dict_1to1|22|2|5.461363|4.892040|5.461363|7.646237|0|48622|-1|-1|5751|4536|0|0|16|-1|-1.000000|23016|23088|0.996362|63319|63338|0.999747|-1.000000|-1|-1|-1|-1|2|21554|-1|-1|-1|-1|-1|48||22|2
CityMaxCapita_1|0|4_Created Date_Time|524288|524288|524312|0.999954|1|0.999954|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|5_Date Joined|524288|441257|441281|0.999946|1.18817|1.1881|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|6_FF Ratio|524288|57057|57081|0.99958|9.18885|9.18498|double|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|7_Favorites|262144|121796|140484|0.866974|2.15232|1.86601|integer|target|DFOR|9|6|2.815967|2.152320|2.400388|6.511115|0|65419|-1|BP|3875|17585|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|614530|0|0|24760|124956|-1|-1|-1|-1||9|6
CityMaxCapita_1|0|8_First Link in Tweet|721351|413279|86865|4.75772|1.74543|8.30428|string|target|Dict_Sharing|14|7|20.481422|1.780806|1.203853|8.727991|-307710|322422|-1|-1|21|8873|-1|-1|-1|-1|-1.000000|307855|462970|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|-1|0|55959|82648|86853|-1|-1|-1|-1||14|7
CityMaxCapita_1|0|9_Followers|262144|97136|111224|0.873337|2.69873|2.3569|integer|target|DFOR|9|8|2.815967|2.698732|2.400388|6.629676|0|41479|BP|BP|3875|5278|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|1183506|0|0|24040|95696|-1|-1|-1|-1||9|8
CityMaxCapita_1|0|10_Following|262144|93092|113169|0.822593|2.81597|2.31639|integer|source|DFOR|9|25|2.815967|1.964567|2.400388|6.483417|0|76887|-1|BP|3875|29690|-1|-1|-1|-1|-1.000000|15501|15512|-1.000000|-1|-1|-1.000000|-1.000000|-1|-1|-1|727620|0|0|24932|134792|-1|-1|-1|-1||9|25
CityMaxCapita_1|0|11_Gender|327684|5|29|0.172414|65536.8|11299.4|string|None|None||||||||||||||||||||||||||||||||||||
CityMaxCapita_1|0|12_Influencer?|262144|5856|5880|0.995918|44.765|44.5823|integer|None|None||||||||||||||||||||||||||||||||||||
