Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165378|1.0045|10|52|1|1|1
Bimbo_1|3670016|319324|360926|0.884735|12|592|34|2|1
CityMaxCapita_1|26049426|11018728|10940681|1.00713|31|1353|251|11|1.83333
CMSprovider_1|16717728|3729276|3501014|1.0652|26|1163|242|12|2
CommonGovernment_1|62829650|8193179|6986905|1.17265|56|6987|572|26|1.85714
Corporations_1|11901857|5105751|3235052|1.57826|27|918|319|9|1.5
Eixo_1|60077487|5892367|4625619|1.27385|71|15388|2066|40|2.85714
Euro2016_1|11418716|5779460|5244416|1.10202|10|119|44|2|2
Food_1|2758131|515805|540373|0.954535|6|70|10|2|2
Generico_1|42738694|2805958|1909851|1.4692|42|5804|558|22|2.75
HashTags_1|92542033|34753667|23963767|1.45026|99|20015|1287|25|1.31579
Hatred_1|26027696|11533096|11558996|0.997759|31|1178|191|11|1.57143
IGlocations1_1|6321918|1779851|1863611|0.955055|18|660|95|8|2.66667
Medicare1_1|12973420|3996314|3776150|1.0583|26|894|176|11|2.75
MedPayment1_1|16768400|4681724|4780993|0.979237|28|1191|147|9|2.25
MLB_1|18994088|2380651|6082688|0.391381|48|8256|1086|26|3.25
Motos_1|42974217|2829428|1911524|1.48019|43|6090|584|20|2
MulheresMil_1|62416953|5964864|4555904|1.30926|72|15881|2275|43|3.90909
NYC_1|36490617|3139541|1756261|1.78763|48|5382|1005|24|2.18182
PanCreactomy1_1|18360922|4037727|3807962|1.06034|29|1555|316|13|2.16667
Physicians_1|16768116|4686462|4778388|0.980762|28|1191|145|11|2.2
Provider_1|16202756|4588180|4758544|0.964198|28|1221|158|10|1.66667
RealEstate1_1|17820728|4838606|4526594|1.06893|26|1330|214|8|2
Redfin1_1|22150976|9242876|9196051|1.00509|42|1398|138|13|3.25
Rentabilidad_1|70851322|16198992|14992075|1.0805|139|21693|1087|27|2.25
Romance_1|21518242|9890137|9866699|1.00238|11|35|3|2|2
SalariesFrance_1|48707783|9310155|8407419|1.10737|57|3588|348|18|2
TableroSistemaPenal_1|23289522|802109|276179|2.90431|27|2252|128|13|2.6
Taxpayer_1|16195222|4592886|4749224|0.967081|28|1222|168|11|2.2
Telco_1|92222061|23897338|22778983|1.0491|176|54777|13250|72|1.14286
TrainsUK1_2|22067864|3440367|2878838|1.19505|27|1629|184|12|2
TrainsUK2_1|18144855|3140981|2633016|1.19292|29|2406|458|13|1.625
Uberlandia_1|61320125|5959002|4598474|1.29587|72|15592|2261|42|3.5
USCensus_1|137735464|8738400|9043308|0.966284|518|533880|29909|97|2.62162
Wins_1|88869327|14701699|17254713|0.85204|254|174072|12455|148|4.48485
YaleLanguages_1|18012366|1520217|807352|1.88297|28|2358|358|18|2.57143
Average compression_ratio_improvement: 1.18045
Total ECRs computed: 912192
