Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1173931|0.997183|6|2|1
Bimbo_1|0|3670016|319324|368250|0.867139|101|17|2
CityMaxCapita_1|0|26049426|11018728|11103366|0.992377|128|88|5
CMSprovider_1|0|16717728|3729276|3724121|1.00138|82|32|1
CommonGovernment_1|0|62829650|8193179|8084814|1.0134|397|168|6
Corporations_1|0|11901857|5105938|5097938|1.00157|92|2|2
Eixo_1|0|60077487|5892280|5431695|1.0848|769|277|10
Euro2016_1|0|11418716|5779460|5779701|0.999958|11|0|0
Food_1|0|2758131|515805|530815|0.971723|12|7|2
Generico_1|0|42738694|2805958|2665300|1.05277|574|186|6
HashTags_1|0|92542033|34753667|34758269|0.999868|2667|294|5
Hatred_1|0|26027696|11533096|11573468|0.996512|130|81|6
IGlocations1_1|0|6321918|1779851|1878187|0.947643|114|61|9
Medicare1_1|0|12973420|3996314|4137488|0.965879|143|95|6
MedPayment1_1|0|16768400|4681724|4879166|0.959534|82|34|3
MLB_1|0|18994088|2380651|2274399|1.04672|1288|809|16
Motos_1|0|42974217|2829428|2683216|1.05449|588|192|6
MulheresMil_1|0|62416953|5964864|5503623|1.08381|781|284|10
NYC_1|0|36490617|3139541|3097981|1.01342|153|81|3
PanCreactomy1_1|0|18360922|4037727|4119723|0.980097|92|37|2
Physicians_1|0|16768116|4686462|4883940|0.959566|82|34|3
Provider_1|0|16202756|4588180|4645039|0.987759|121|52|4
RealEstate1_1|0|17820728|4838606|4741698|1.02044|85|2|1
Redfin1_1|0|22150976|9242876|9211167|1.00344|79|43|4
Rentabilidad_1|0|70851322|16198992|16162288|1.00227|1188|205|5
Romance_1|0|21518242|9890585|9867147|1.00238|5|4|2
SalariesFrance_1|0|48707783|9310155|9328634|0.998019|174|82|3
TableroSistemaPenal_1|0|23289522|802109|746339|1.07472|104|4|1
Taxpayer_1|0|16195222|4592886|4746069|0.967724|121|52|5
Telco_1|0|92222061|23897338|23901572|0.999823|94|0|0
TrainsUK1_2|0|22067864|3440367|3454701|0.995851|92|53|3
TrainsUK2_1|0|18144855|3140981|2954263|1.0632|338|111|7
Uberlandia_1|0|61320125|5959002|5344967|1.11488|976|316|12
USCensus_1|0|137735464|8738400|9030295|0.967676|91912|20774|140
Wins_1|0|88869327|14701699|14861652|0.989237|29729|18976|143
YaleLanguages_1|0|18012366|1520217|1268544|1.1984|202|113|7
