Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1173931|0.997183|10|6|2|1|1
Bimbo_1|3670016|319324|368250|0.867139|12|101|17|2|1
CityMaxCapita_1|26049426|11018728|11103366|0.992377|31|128|88|5|2.5
CMSprovider_1|16717728|3729276|3724121|1.00138|26|82|32|1|1
CommonGovernment_1|62829650|8193179|8084814|1.0134|56|397|168|6|1.5
Corporations_1|11901857|5105938|5097938|1.00157|27|92|2|2|2
Eixo_1|60077487|5892280|5431695|1.0848|71|769|277|10|1.66667
Euro2016_1|11418716|5779460|5779701|0.999958|10|11|0|0|0
Food_1|2758131|515805|530815|0.971723|6|12|7|2|1
Generico_1|42738694|2805958|2665300|1.05277|42|574|186|6|1.2
HashTags_1|92542033|34753667|34758269|0.999868|99|2667|294|5|1.66667
Hatred_1|26027696|11533096|11573468|0.996512|31|130|81|6|2
IGlocations1_1|6321918|1779851|1878187|0.947643|18|114|61|9|4.5
Medicare1_1|12973420|3996314|4137488|0.965879|26|143|95|6|1.5
MedPayment1_1|16768400|4681724|4879166|0.959534|28|82|34|3|1.5
MLB_1|18994088|2380651|2274399|1.04672|48|1288|809|16|1.33333
Motos_1|42974217|2829428|2683216|1.05449|43|588|192|6|1
MulheresMil_1|62416953|5964864|5503623|1.08381|72|781|284|10|1.66667
NYC_1|36490617|3139541|3097981|1.01342|48|153|81|3|1.5
PanCreactomy1_1|18360922|4037727|4119723|0.980097|29|92|37|2|1
Physicians_1|16768116|4686462|4883940|0.959566|28|82|34|3|1.5
Provider_1|16202756|4588180|4645039|0.987759|28|121|52|4|1
RealEstate1_1|17820728|4838606|4741698|1.02044|26|85|2|1|1
Redfin1_1|22150976|9242876|9211167|1.00344|42|79|43|4|4
Rentabilidad_1|70851322|16198992|16162288|1.00227|139|1188|205|5|1
Romance_1|21518242|9890585|9867147|1.00238|11|5|4|2|2
SalariesFrance_1|48707783|9310155|9328634|0.998019|57|174|82|3|1
TableroSistemaPenal_1|23289522|802109|746339|1.07472|27|104|4|1|1
Taxpayer_1|16195222|4592886|4746069|0.967724|28|121|52|5|1.25
Telco_1|92222061|23897338|23901572|0.999823|176|94|0|0|0
TrainsUK1_2|22067864|3440367|3454701|0.995851|27|92|53|3|1
TrainsUK2_1|18144855|3140981|2954263|1.0632|29|338|111|7|1
Uberlandia_1|61320125|5959002|5344967|1.11488|72|976|316|12|1.5
USCensus_1|137735464|8738400|9030295|0.967676|518|91912|20774|140|5.6
Wins_1|88869327|14701699|14861652|0.989237|254|29729|18976|143|3.40476
YaleLanguages_1|18012366|1520217|1268544|1.1984|28|202|113|7|1.4
Average compression_ratio_improvement: 1.01043
Total ECRs computed: 133512
