Relation|RowGroup|uncompressed|compressed|c3_compressed|compression_ratio_improvement|compute_ecr_counter|add_to_graph_counter|final_scheme_counter
Arade_1|0|4161998|1170624|1165949|1.00401|52|5|1
Bimbo_1|0|3670016|319324|279200|1.14371|592|49|4
CityMaxCapita_1|0|26049426|11018728|10720473|1.02782|1353|250|10
CMSprovider_1|0|16717728|3729276|3432617|1.08642|1163|251|9
CommonGovernment_1|0|62829650|8193179|7175832|1.14177|6987|838|21
Corporations_1|0|11901857|5105751|3496232|1.46036|918|404|8
Eixo_1|0|60077487|5892367|4900886|1.20231|15388|3408|31
Euro2016_1|0|11418716|5779460|5241707|1.10259|119|51|3
Food_1|0|2758131|515805|514250|1.00302|70|13|2
Generico_1|0|42738694|2805958|2006070|1.39873|5804|816|15
HashTags_1|0|92542033|34753667|24217223|1.43508|20015|1493|22
Hatred_1|0|26027696|11533096|11357772|1.01544|1178|187|9
IGlocations1_1|0|6321918|1779851|1766945|1.0073|660|75|7
Medicare1_1|0|12973420|3996314|3343778|1.19515|894|183|10
MedPayment1_1|0|16768400|4681724|4557599|1.02723|1191|189|8
MLB_1|0|18994088|2380651|2220921|1.07192|8256|1593|23
Motos_1|0|42974217|2829428|2032037|1.39241|6090|844|16
MulheresMil_1|0|62416953|5964864|4931496|1.20954|15881|3463|32
NYC_1|0|36490617|3139541|1738101|1.80631|5382|1023|18
PanCreactomy1_1|0|18360922|4037727|3743420|1.07862|1555|312|11
Physicians_1|0|16768116|4686462|4556638|1.02849|1191|186|9
Provider_1|0|16202756|4588180|4514258|1.01638|1221|178|9
RealEstate1_1|0|17820728|4838606|4525091|1.06928|1330|178|7
Redfin1_1|0|22150976|9242876|9002597|1.02669|1398|137|10
Rentabilidad_1|0|70851322|16198993|15077022|1.07442|21693|1627|22
Romance_1|0|21518242|9890585|9868760|1.00221|35|4|2
SalariesFrance_1|0|48707783|9310155|8655751|1.0756|3588|340|14
TableroSistemaPenal_1|0|23289522|802109|453280|1.76957|2252|171|9
Taxpayer_1|0|16195222|4592886|4517381|1.01671|1222|194|8
Telco_1|0|92222061|23897338|22440894|1.0649|54777|13673|70
TrainsUK1_2|0|22067864|3440367|3055156|1.12609|1629|211|12
TrainsUK2_1|0|18144855|3140981|2610170|1.20336|2406|460|12
Uberlandia_1|0|61320125|5959002|4962515|1.2008|15592|3582|31
USCensus_1|0|137735464|8738400|8148884|1.07234|533880|46405|126
Wins_1|0|88869327|14701699|14043405|1.04688|174072|36427|112
YaleLanguages_1|0|18012366|1520217|985314|1.54288|2358|522|13
