Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1170865|0.999794|10|12|0|0|0
Bimbo_1|3670016|319324|261336|1.22189|12|132|10|3|1.5
CityMaxCapita_1|26049426|11018728|10910398|1.00993|31|380|71|8|1.6
CMSprovider_1|16717728|3729276|3420343|1.09032|26|342|105|10|2
CommonGovernment_1|62829650|8193179|7313774|1.12024|56|2070|249|20|1.66667
Corporations_1|11901857|5105751|3865296|1.32092|27|240|86|5|1.66667
Eixo_1|60077487|5892367|5011703|1.17572|71|4160|1027|21|1.23529
Euro2016_1|11418716|5779460|5240090|1.10293|10|30|15|2|1
Food_1|2758131|515805|524166|0.984049|6|20|3|2|2
Generico_1|42738694|2805958|2170704|1.29265|42|1722|272|15|1.66667
HashTags_1|92542033|34753667|34606418|1.00425|99|5402|732|17|2.42857
Hatred_1|26027696|11533096|11396870|1.01195|31|342|54|7|1.75
IGlocations1_1|6321918|1779851|1773271|1.00371|18|56|1|1|1
Medicare1_1|12973420|3996314|3825611|1.04462|26|240|42|8|2.66667
MedPayment1_1|16768400|4681724|4583423|1.02145|28|306|42|7|2.33333
MLB_1|18994088|2380651|2314158|1.02873|48|2256|193|21|7
Motos_1|42974217|2829428|2216815|1.27635|43|1806|276|14|1.75
MulheresMil_1|62416953|5964864|4997436|1.19358|72|4290|1083|24|1.6
NYC_1|36490617|3139541|2022319|1.55245|48|1482|487|22|2.75
PanCreactomy1_1|18360922|4037727|3752781|1.07593|29|462|133|12|3
Physicians_1|16768116|4686462|4571128|1.02523|28|306|46|7|1.75
Provider_1|16202756|4588180|4491354|1.02156|28|306|40|6|1.2
RealEstate1_1|17820728|4838606|4555118|1.06224|26|420|98|8|1.33333
Redfin1_1|22150976|9242876|9202151|1.00443|42|306|38|10|3.33333
Rentabilidad_1|70851322|16198993|15544395|1.04211|139|6924|631|19|1.58333
Romance_1|21518242|9890137|9890401|0.999973|11|2|0|0|0
SalariesFrance_1|48707783|9310155|8604245|1.08204|57|992|209|17|1.7
TableroSistemaPenal_1|23289522|802109|439045|1.82694|27|702|87|8|1.14286
Taxpayer_1|16195222|4592886|4499429|1.02077|28|306|39|6|1.2
Telco_1|92222061|23897338|24016230|0.99505|176|10932|1652|82|4.82353
TrainsUK1_2|22067864|3440367|3111188|1.1058|27|552|61|9|1.28571
TrainsUK2_1|18144855|3140981|2690752|1.16732|29|702|176|13|1.44444
Uberlandia_1|61320125|5959002|5009088|1.18964|72|4290|1022|23|1.53333
USCensus_1|137735464|8738400|8994679|0.971508|518|92702|3419|107|4.86364
Wins_1|88869327|14701699|14911817|0.985909|254|34686|1912|95|2.79412
YaleLanguages_1|18012366|1520217|840612|1.80846|28|650|195|15|1.66667
Average compression_ratio_improvement: 1.13446
Total ECRs computed: 180528
