Relation|uncompressed|compressed|c3_compressed|compression_ratio_improvement|column_count|compute_ecr_counter|add_to_graph_counter|final_scheme_counter|avg_schemes_per_source
Arade_1|4161998|1170624|1165949|1.00401|10|52|3|1|1
Bimbo_1|3670016|319324|250547|1.27451|12|592|33|3|1
CityMaxCapita_1|26049426|11018728|10721137|1.02776|31|1353|216|10|1
CMSprovider_1|16717728|3729276|3413199|1.0926|26|1163|233|9|1
CommonGovernment_1|62829650|8193179|7166954|1.14319|56|6987|658|20|1
Corporations_1|11901857|5105751|3841169|1.32922|27|918|401|8|1
Eixo_1|60077487|5892367|4901073|1.20226|71|15388|3278|31|1
Euro2016_1|11418716|5779460|5233302|1.10436|10|119|49|3|1
Food_1|2758131|515805|514250|1.00302|6|70|10|2|1
Generico_1|42738694|2805958|1940281|1.44616|42|5804|586|16|1
HashTags_1|92542033|34753667|24213965|1.43527|99|20015|1355|23|1
Hatred_1|26027696|11533096|11359807|1.01525|31|1178|170|9|1
IGlocations1_1|6321918|1779851|1766945|1.0073|18|660|51|6|1
Medicare1_1|12973420|3996314|3332113|1.19933|26|894|130|10|1
MedPayment1_1|16768400|4681724|4555245|1.02777|28|1191|156|8|1
MLB_1|18994088|2380651|2171063|1.09654|48|8256|1228|23|1
Motos_1|42974217|2829428|1970855|1.43563|43|6090|626|17|1
MulheresMil_1|62416953|5964864|4950554|1.20489|72|15881|3290|32|1
NYC_1|36490617|3139541|1776782|1.76698|48|5382|974|19|1
PanCreactomy1_1|18360922|4037727|3764474|1.07259|29|1555|271|10|1
Physicians_1|16768116|4686462|4555676|1.02871|28|1191|157|8|1
Provider_1|16202756|4588180|4495458|1.02063|28|1221|157|9|1
RealEstate1_1|17820728|4838606|4512906|1.07217|26|1330|146|8|1
Redfin1_1|22150976|9242876|9001165|1.02685|42|1398|100|9|1
Rentabilidad_1|70851322|16198993|15054792|1.076|139|21693|1472|21|1
Romance_1|21518242|9890137|9865871|1.00246|11|35|2|1|1
SalariesFrance_1|48707783|9310155|8655927|1.07558|57|3588|325|14|1
TableroSistemaPenal_1|23289522|802109|450653|1.77988|27|2252|161|9|1
Taxpayer_1|16195222|4592886|4496770|1.02137|28|1222|160|10|1
Telco_1|92222061|23897338|22351953|1.06914|176|54777|11315|69|1
TrainsUK1_2|22067864|3440367|2979385|1.15472|27|1629|158|11|1
TrainsUK2_1|18144855|3140981|2616049|1.20066|29|2406|412|11|1
Uberlandia_1|61320125|5959002|4970571|1.19886|72|15592|3396|32|1
USCensus_1|137735464|8738400|8085595|1.08074|518|533880|22640|121|1
Wins_1|88869327|14701699|13921803|1.05602|254|174072|17617|98|1
YaleLanguages_1|18012366|1520217|976215|1.55726|28|2358|466|13|1
Average compression_ratio_improvement: 1.17527
Total ECRs computed: 912192
